inventory_item_id,indicator_id,ui_title,short_title,source_name,category,subcategory,category_final,subcategory_final,ui_exposure_level,currently_in_app,api_candidate_status,use_mode,neighbourhood_suitability,geography_level,geography_type,period_type,time_coverage,latest_period_available,unit_type,polarity,direction_hint,metric_family,history_available,default_view,primary_visual_final,secondary_visual_final,module_bundle_view,view_toggle_options_compact,view_toggle_options_full,comparison_view,benchmark_style,comparator_note,trend_view,trend_note,map_view_final,map_role,map_note,distribution_view,composition_view,axis_guidance,labelling_guidance,accessibility_guidance,misinterpretation_risks,visual_rationale,expert_review_questions,expert_review_amendment,operational_review_notes,operational_review_amendment,pie_allowed,suggested_aggregation_method,aggregation_warning,methodology_summary,caveats,source_url,docs_url,review_include_decision,review_primary_visual_override,review_secondary_visual_override,review_notes,notes,title
api::ohid fingertips api::fingertips_93231::count_stroke_emergency_hospital_admissions,fingertips_93231,Stroke: emergency hospital admissions,Stroke: emergency hospital admissions,OHID Fingertips API,Benchmark Context,General context,Population & Demography,"Population size, age & density",hidden,False,exclude_for_now,direct_neighbourhood_candidate,HIGH,MSOA,official_small_area,annual,,,count,negative,higher_is_worse,magnitude_count,True,kpi_card,kpi_card,ranked_distribution,,kpi_card|trend_line|ranked_distribution,kpi_card|trend_line|ranked_distribution,text_badges_or_indexed_note,de_emphasise_totals_show_rate_if_available,"Use borough or London totals as text context only; if a rate equivalent exists, surface that comparison more prominently.",trend_line,Enable trend toggle when multiple periods are available; default to latest 12 to 24 periods for monthly series.,none,not_recommended_for_counts,No choropleth by default.,ranked_distribution,none,"Use simple, readable scales with sensible round-number gridlines and no dual axes.","Use a concise title, unit and comparator note; keep caveats outside the card body.",Keep backgrounds plain and gridlines light; do not rely on colour alone; prefer direct labels over legends; use accessible contrast and provide plain-language help text.,Counts are driven by population size; pair with a rate or percentage where possible and avoid choropleth maps for raw counts. Large totals can dominate the page; avoid making borough or London total comparisons the main visual story.,"Default to KPI plus ranked context because absolute totals are useful for scale, but should not dominate benchmark comparisons.",Would a rate or share communicate the message better than a raw count?,De-emphasise choropleth or benchmark-total views; keep a per-capita companion view nearby.,Do not surface by default; keep behind search or All indicators mode.,Default hidden from first-load navigation.,no,sum_counts,Available on a workable small geography and structured in a way that can be aggregated cautiously.,England age specific admission rates were calculated from all admission episodes with valid MSOA and age coding. Unadjusted expected admissions within each MSO…,NHS Digital has identified a data quality issue affecting HES data for Nottingham University Hospitals Trust (NUH) in the financial year 2016 to 2017. Over 30 percent of records f…,https://fingertips.phe.org.uk/api/indicator_metadata/csv/by_indicator_id?indicator_ids=93231,https://fingertips.phe.org.uk/api,exclude_from_default_nav,,ranked_distribution,"Default to KPI plus ranked context because absolute totals are useful for scale, but should not dominate benchmark comparisons. De-emphasise choropleth or benchmark-total views; keep a per-capita companion view nearby. Default hidden from first-load navigation.",Full harvested Fingertips indicator.,
api::ohid fingertips api::fingertips_91404::rate_years_of_life_lost_due_to_suicide,fingertips_91404,Years of life lost due to suicide,Years of life lost due to suicide,OHID Fingertips API,Benchmark Context,General context,Population & Demography,"Population size, age & density",hidden,False,maybe_later,hidden_for_now,LOW,Region,official_region,annual,,,rate,negative,higher_is_worse,snapshot_comparison,True,benchmark_lollipop,benchmark_lollipop,trend_line,,benchmark_lollipop|trend_line,benchmark_lollipop|trend_line,benchmark_lollipop,direct_labelled_markers_selected_borough_london,Compare selected neighbourhood(s) to borough and London using direct-labelled markers; preserve multi-borough logic.,trend_line,Enable trend toggle when multiple periods are available; default to latest 12 to 24 periods for monthly series.,none,none,No choropleth by default.,none,none,Use a shared baseline and consistent scale across comparators; marker charts may crop the axis if it improves readability without exaggeration.,"Direct-label Selected, Borough and London markers; avoid legends.",Keep backgrounds plain and gridlines light; do not rely on colour alone; prefer direct labels over legends; use accessible contrast and provide plain-language help text.,"Snapshot comparisons show the latest available position; small differences may not be practically meaningful, so keep comparator labels and units explicit.",Default to a direct comparison view because neighbourhood users usually need to know how the selected area compares with borough and London before exploring detail.,Does the scale exaggerate small differences or make very large benchmark gaps meaningless?,"Direct-label Selected, Borough and London and keep the scale consistent across similar indicators.",Do not surface by default; keep behind search or All indicators mode. Lead with a simple sentence: above or below borough and London.,Default hidden from first-load navigation. Show simple comparator badges and a one-line interpretation first.,no,recompute_rate_from_numerator_denominator,"The geography is not strong enough for the current app, but the indicator may still be worth keeping in reserve.",The number of years of life lost is calculated by summing over ages 15 to 74 years the number of deaths at each age multiplied by the number of years of life r…,Suicide definition The definition of suicide includes deaths given an underlying cause of intentional self-harm or an injury/poisoning of undetermined intent. In England and Wales…,https://fingertips.phe.org.uk/api/indicator_metadata/csv/by_indicator_id?indicator_ids=91404,https://fingertips.phe.org.uk/api,include_in_tiered_nav,benchmark_lollipop,trend_line,"Default to a direct comparison view because neighbourhood users usually need to know how the selected area compares with borough and London before exploring detail. Direct-label Selected, Borough and London and keep the scale consistent across similar indicators. Default hidden from first-load navigation. Show simple comparator badges and a one-line interpretation first.",Full harvested Fingertips indicator.,
api::ons api::ons_population_estimates_benchmark::count_annual_population_estimates_benchmark_context,ons_population_estimates_benchmark,Population estimates benchmark,Population estimates benchmark,ONS API,Benchmark Context,Population benchmarks,Population & Demography,"Population size, age & density",advanced,False,maybe_later,benchmark_only,LOW,Local authority / region,official_benchmark,annual,Annual series,,count,neutral,higher_is_context_dependent,magnitude_count,True,benchmark_only_compare,benchmark_only_compare,trend_line,,benchmark_only_compare|trend_line|ranked_distribution,benchmark_only_compare|trend_line|ranked_distribution,text_badges_or_indexed_note,de_emphasise_totals_show_rate_if_available,"Use borough or London totals as text context only; if a rate equivalent exists, surface that comparison more prominently.",trend_line,Enable trend toggle when multiple periods are available; default to latest 12 to 24 periods for monthly series.,none,not_recommended_for_counts,No choropleth by default.,ranked_distribution,none,Use a shared baseline and consistent scale across comparators; marker charts may crop the axis if it improves readability without exaggeration.,"Direct-label Selected, Borough and London markers; avoid legends.",Keep backgrounds plain and gridlines light; do not rely on colour alone; prefer direct labels over legends; use accessible contrast and provide plain-language help text.,Counts are driven by population size; pair with a rate or percentage where possible and avoid choropleth maps for raw counts. This indicator is better used for context or benchmarking than as a direct neighbourhood estimate.,"Default to KPI plus ranked context because absolute totals are useful for scale, but should not dominate benchmark comparisons.",Does the scale exaggerate small differences or make very large benchmark gaps meaningless? Would a rate or share communicate the message better than a raw count?,"De-emphasise choropleth or benchmark-total views; keep a per-capita companion view nearby. Direct-label Selected, Borough and London and keep the scale consistent across similar indicators.",Do not surface by default; keep behind search or All indicators mode. Lead with a simple sentence: above or below borough and London.,Default hidden from first-load navigation. Show simple comparator badges and a one-line interpretation first.,no,direct_lookup,Do not try to force local-authority estimates down to neighbourhoods without a separate model.,Use ONS API series directly for borough and London context only.,Not a direct neighbourhood metric.,https://api.beta.ons.gov.uk/v1/datasets,https://developer.ons.gov.uk/,include_in_tiered_nav,,,"Default to KPI plus ranked context because absolute totals are useful for scale, but should not dominate benchmark comparisons. De-emphasise choropleth or benchmark-total views; keep a per-capita companion view nearby. Direct-label Selected, Borough and London and keep the scale consistent across similar indicators. Default hidden from first-load navigation. Show simple comparator badges and a one-line interpretation first.","Potentially helpful for borough and London context, but not a first-build neighbourhood indicator.",Population estimates benchmark
api::london datastore ckan api::london_datastore_prevalence_of_childhood_obesity_borough_ward_and_msoa::share_prevalence_of_childhood_obesity_borough_ward_and_msoa,london_datastore_prevalence_of_childhood_obesity_borough_ward_and_msoa,"Prevalence of Childhood Obesity, Borough, Ward and MSOA","Prevalence of Childhood Obesity, Borough, Ward and MSOA",London Datastore CKAN API,"Children, Families & Young People",Child health,Health & Wellbeing,"Health, disability & care",advanced,False,maybe_later,neighbourhood_estimate_with_caveats,MEDIUM,Ward / MSOA / borough,official_small_area,annual,Dataset-specific,2021-01-27,share,negative,higher_is_worse,snapshot_comparison,True,benchmark_lollipop,benchmark_lollipop,trend_line,,benchmark_lollipop|trend_line|ranked_distribution,benchmark_lollipop|trend_line|ranked_distribution,benchmark_lollipop,direct_labelled_markers_selected_borough_london,Compare selected neighbourhood(s) to borough and London using direct-labelled markers; preserve multi-borough logic.,trend_line,Enable trend toggle when multiple periods are available; default to latest 12 to 24 periods for monthly series.,none,none,No choropleth by default.,none,none,Use a shared baseline and consistent scale across comparators; marker charts may crop the axis if it improves readability without exaggeration.,"Direct-label Selected, Borough and London markers; avoid legends.",Keep backgrounds plain and gridlines light; do not rely on colour alone; prefer direct labels over legends; use accessible contrast and provide plain-language help text.,"Snapshot comparisons show the latest available position; small differences may not be practically meaningful, so keep comparator labels and units explicit.",Default to a direct comparison view because neighbourhood users usually need to know how the selected area compares with borough and London before exploring detail.,Does the scale exaggerate small differences or make very large benchmark gaps meaningless?,"Direct-label Selected, Borough and London and keep the scale consistent across similar indicators.",Do not surface by default; keep behind search or All indicators mode. Lead with a simple sentence: above or below borough and London.,Default hidden from first-load navigation. Show simple comparator badges and a one-line interpretation first.,no,recompute_rate_from_numerator_denominator,Use only if the published geography and cohort definitions are aligned cleanly to neighbourhoods.,Treat the London Datastore as a curated import source and review the resource schema before production use.,"Prevalence of underweight, healthy weight, overweight and obese children. The data covers children in Reception year (aged 4-5) and Year 6 (aged 10-11) There is the potential for…",https://data.london.gov.uk/dataset/23g07,https://data.london.gov.uk/,include_in_tiered_nav,benchmark_lollipop,,"Default to a direct comparison view because neighbourhood users usually need to know how the selected area compares with borough and London before exploring detail. Direct-label Selected, Borough and London and keep the scale consistent across similar indicators. Default hidden from first-load navigation. Show simple comparator badges and a one-line interpretation first.","Potentially useful, but not as clean a first addition as fuel poverty or air quality context.",
api::ohid fingertips api::fingertips_90630::share_1_01i_children_in_low_income_families_all_dependent_children_under_20,fingertips_90630,1.01i - Children in low income families (all dependent children under 20),1.01i - Children in low income families (all dependent children under…,OHID Fingertips API,"Children, Families & Young People",Early years and child health,Health & Wellbeing,"Health, disability & care",hidden,False,exclude_for_now,hidden_for_now,LOW,Region,official_region,annual,Annual,,share,negative,higher_is_worse,snapshot_comparison,True,benchmark_lollipop,benchmark_lollipop,trend_line,,benchmark_lollipop|trend_line,benchmark_lollipop|trend_line,benchmark_lollipop,direct_labelled_markers_selected_borough_london,Compare selected neighbourhood(s) to borough and London using direct-labelled markers; preserve multi-borough logic.,trend_line,Enable trend toggle when multiple periods are available; default to latest 12 to 24 periods for monthly series.,none,none,No choropleth by default.,none,none,Use a shared baseline and consistent scale across comparators; marker charts may crop the axis if it improves readability without exaggeration.,"Direct-label Selected, Borough and London markers; avoid legends.",Keep backgrounds plain and gridlines light; do not rely on colour alone; prefer direct labels over legends; use accessible contrast and provide plain-language help text.,"Snapshot comparisons show the latest available position; small differences may not be practically meaningful, so keep comparator labels and units explicit.",Default to a direct comparison view because neighbourhood users usually need to know how the selected area compares with borough and London before exploring detail.,Does the scale exaggerate small differences or make very large benchmark gaps meaningless?,"Direct-label Selected, Borough and London and keep the scale consistent across similar indicators.",Do not surface by default; keep behind search or All indicators mode. Lead with a simple sentence: above or below borough and London.,Default hidden from first-load navigation. Show simple comparator badges and a one-line interpretation first.,no,recompute_rate_from_numerator_denominator,"The geography is not strong enough for the current app, but the indicator may still be worth keeping in reserve.",The number of children living in families in receipt of Child Tax Credit whose reported income is less than 60 per cent of the median income or are in receipt…,"For National Statistics data on child poverty at regional level, please refer to the Department of Work and Pensions' Households Below Average Income publication which uses the re…",http://www.dwp.gov.uk/policy/child-poverty/,https://fingertips.phe.org.uk/api,exclude_from_default_nav,benchmark_lollipop,trend_line,"Default to a direct comparison view because neighbourhood users usually need to know how the selected area compares with borough and London before exploring detail. Direct-label Selected, Borough and London and keep the scale consistent across similar indicators. Default hidden from first-load navigation. Show simple comparator badges and a one-line interpretation first.",Full harvested Fingertips indicator.,
api::ohid fingertips api::fingertips_93930::rate_a_e_attendances_0_to_4_years,fingertips_93930,A&E attendances (0 to 4 years),A&E attendances (0 to 4 years),OHID Fingertips API,"Children, Families & Young People",Early years and child health,Health & Wellbeing,"Health, disability & care",hidden,False,exclude_for_now,hidden_for_now,LOW,Region,official_region,annual,,,rate,negative,higher_is_worse,snapshot_comparison,True,benchmark_lollipop,benchmark_lollipop,trend_line,,benchmark_lollipop|trend_line,benchmark_lollipop|trend_line,benchmark_lollipop,direct_labelled_markers_selected_borough_london,Compare selected neighbourhood(s) to borough and London using direct-labelled markers; preserve multi-borough logic.,trend_line,Enable trend toggle when multiple periods are available; default to latest 12 to 24 periods for monthly series.,none,none,No choropleth by default.,none,none,Use a shared baseline and consistent scale across comparators; marker charts may crop the axis if it improves readability without exaggeration.,"Direct-label Selected, Borough and London markers; avoid legends.",Keep backgrounds plain and gridlines light; do not rely on colour alone; prefer direct labels over legends; use accessible contrast and provide plain-language help text.,"Snapshot comparisons show the latest available position; small differences may not be practically meaningful, so keep comparator labels and units explicit.",Default to a direct comparison view because neighbourhood users usually need to know how the selected area compares with borough and London before exploring detail.,Does the scale exaggerate small differences or make very large benchmark gaps meaningless?,"Direct-label Selected, Borough and London and keep the scale consistent across similar indicators.",Do not surface by default; keep behind search or All indicators mode. Lead with a simple sentence: above or below borough and London.,Default hidden from first-load navigation. Show simple comparator badges and a one-line interpretation first.,no,recompute_rate_from_numerator_denominator,"The geography is not strong enough for the current app, but the indicator may still be worth keeping in reserve.","Crude rate per 1,000 population","In 2023, NHS England announced a https://eur03.safelinks.protection.outlook.com/?url=https%3A%2F%2Fdigital.nhs.uk%2Fdata-and-information%2Ffind-data-and-publications%2Fstatement-o…",https://fingertips.phe.org.uk/api/indicator_metadata/csv/by_indicator_id?indicator_ids=93930,https://fingertips.phe.org.uk/api,exclude_from_default_nav,benchmark_lollipop,trend_line,"Default to a direct comparison view because neighbourhood users usually need to know how the selected area compares with borough and London before exploring detail. Direct-label Selected, Borough and London and keep the scale consistent across similar indicators. Default hidden from first-load navigation. Show simple comparator badges and a one-line interpretation first.",Full harvested Fingertips indicator.,
api::ohid fingertips api::fingertips_93939::rate_a_e_attendances_under_18_years,fingertips_93939,A&E attendances (under 18 years),A&E attendances (under 18 years),OHID Fingertips API,"Children, Families & Young People",Early years and child health,Health & Wellbeing,"Health, disability & care",hidden,False,exclude_for_now,hidden_for_now,LOW,Region,official_region,annual,,,rate,negative,higher_is_worse,snapshot_comparison,True,benchmark_lollipop,benchmark_lollipop,trend_line,,benchmark_lollipop|trend_line,benchmark_lollipop|trend_line,benchmark_lollipop,direct_labelled_markers_selected_borough_london,Compare selected neighbourhood(s) to borough and London using direct-labelled markers; preserve multi-borough logic.,trend_line,Enable trend toggle when multiple periods are available; default to latest 12 to 24 periods for monthly series.,none,none,No choropleth by default.,none,none,Use a shared baseline and consistent scale across comparators; marker charts may crop the axis if it improves readability without exaggeration.,"Direct-label Selected, Borough and London markers; avoid legends.",Keep backgrounds plain and gridlines light; do not rely on colour alone; prefer direct labels over legends; use accessible contrast and provide plain-language help text.,"Snapshot comparisons show the latest available position; small differences may not be practically meaningful, so keep comparator labels and units explicit.",Default to a direct comparison view because neighbourhood users usually need to know how the selected area compares with borough and London before exploring detail.,Does the scale exaggerate small differences or make very large benchmark gaps meaningless?,"Direct-label Selected, Borough and London and keep the scale consistent across similar indicators.",Do not surface by default; keep behind search or All indicators mode. Lead with a simple sentence: above or below borough and London.,Default hidden from first-load navigation. Show simple comparator badges and a one-line interpretation first.,no,recompute_rate_from_numerator_denominator,"The geography is not strong enough for the current app, but the indicator may still be worth keeping in reserve.","Crude rate per 1,000 population","In 2023, NHS England announced a https://eur03.safelinks.protection.outlook.com/?url=https%3A%2F%2Fdigital.nhs.uk%2Fdata-and-information%2Ffind-data-and-publications%2Fstatement-o…",https://fingertips.phe.org.uk/api/indicator_metadata/csv/by_indicator_id?indicator_ids=93939,https://fingertips.phe.org.uk/api,exclude_from_default_nav,benchmark_lollipop,trend_line,"Default to a direct comparison view because neighbourhood users usually need to know how the selected area compares with borough and London before exploring detail. Direct-label Selected, Borough and London and keep the scale consistent across similar indicators. Default hidden from first-load navigation. Show simple comparator badges and a one-line interpretation first.",Full harvested Fingertips indicator.,
api::ohid fingertips api::fingertips_94089::rate_access_rate_to_specialist_perinatal_mental_health_services,fingertips_94089,Access rate to specialist perinatal mental health services,Access rate to specialist perinatal mental health services,OHID Fingertips API,"Children, Families & Young People",Early years and child health,Health & Wellbeing,"Health, disability & care",hidden,False,exclude_for_now,hidden_for_now,LOW,Region,official_region,annual,This indicator is intended to be updated yearly.,,rate,neutral,higher_is_context_dependent,snapshot_comparison,True,benchmark_lollipop,benchmark_lollipop,trend_line,,benchmark_lollipop|trend_line,benchmark_lollipop|trend_line,benchmark_lollipop,direct_labelled_markers_selected_borough_london,Compare selected neighbourhood(s) to borough and London using direct-labelled markers; preserve multi-borough logic.,trend_line,Enable trend toggle when multiple periods are available; default to latest 12 to 24 periods for monthly series.,none,none,No choropleth by default.,none,none,Use a shared baseline and consistent scale across comparators; marker charts may crop the axis if it improves readability without exaggeration.,"Direct-label Selected, Borough and London markers; avoid legends.",Keep backgrounds plain and gridlines light; do not rely on colour alone; prefer direct labels over legends; use accessible contrast and provide plain-language help text.,"Snapshot comparisons show the latest available position; small differences may not be practically meaningful, so keep comparator labels and units explicit.",Default to a direct comparison view because neighbourhood users usually need to know how the selected area compares with borough and London before exploring detail.,Does the scale exaggerate small differences or make very large benchmark gaps meaningless?,"Direct-label Selected, Borough and London and keep the scale consistent across similar indicators.",Do not surface by default; keep behind search or All indicators mode. Lead with a simple sentence: above or below borough and London.,Default hidden from first-load navigation. Show simple comparator badges and a one-line interpretation first.,no,recompute_rate_from_numerator_denominator,"The geography is not strong enough for the current app, but the indicator may still be worth keeping in reserve.","These rates are directly age standardised using a Standard Population per 1,000. This improves the comparability of rates for different areas, or between diffe…",Only women or people identifying as women are included in the numerator so that the numerator and denominator are as in line as possible. It is not possible to identify demographi…,https://fingertips.phe.org.uk/api/indicator_metadata/csv/by_indicator_id?indicator_ids=94089,https://fingertips.phe.org.uk/api,exclude_from_default_nav,benchmark_lollipop,trend_line,"Default to a direct comparison view because neighbourhood users usually need to know how the selected area compares with borough and London before exploring detail. Direct-label Selected, Borough and London and keep the scale consistent across similar indicators. Default hidden from first-load navigation. Show simple comparator badges and a one-line interpretation first.",Full harvested Fingertips indicator.,
api::ohid fingertips api::fingertips_93972::rate_age_standardised_rate_for_suicide_by_age_and_sex,fingertips_93972,Age-standardised rate for suicide by age and sex,Age-standardised rate for suicide by age and sex,OHID Fingertips API,"Children, Families & Young People",Early years and child health,Health & Wellbeing,"Health, disability & care",advanced,False,maybe_later,hidden_for_now,LOW,Region,official_region,annual,2012 - 16 to 2020 - 24,2020 - 24,rate,negative,higher_is_worse,snapshot_comparison,True,benchmark_lollipop,benchmark_lollipop,trend_line,,benchmark_lollipop|trend_line,benchmark_lollipop|trend_line,benchmark_lollipop,direct_labelled_markers_selected_borough_london,Compare selected neighbourhood(s) to borough and London using direct-labelled markers; preserve multi-borough logic.,trend_line,Enable trend toggle when multiple periods are available; default to latest 12 to 24 periods for monthly series.,none,none,No choropleth by default.,none,none,Use a shared baseline and consistent scale across comparators; marker charts may crop the axis if it improves readability without exaggeration.,"Direct-label Selected, Borough and London markers; avoid legends.",Keep backgrounds plain and gridlines light; do not rely on colour alone; prefer direct labels over legends; use accessible contrast and provide plain-language help text.,"Snapshot comparisons show the latest available position; small differences may not be practically meaningful, so keep comparator labels and units explicit.",Default to a direct comparison view because neighbourhood users usually need to know how the selected area compares with borough and London before exploring detail.,Does the scale exaggerate small differences or make very large benchmark gaps meaningless?,"Direct-label Selected, Borough and London and keep the scale consistent across similar indicators.",Do not surface by default; keep behind search or All indicators mode. Lead with a simple sentence: above or below borough and London.,Default hidden from first-load navigation. Show simple comparator badges and a one-line interpretation first.,no,recompute_rate_from_numerator_denominator,"The geography is not strong enough for the current app, but the indicator may still be worth keeping in reserve.",Numerator data for each age band are divided by the denominator population data for each age band respectively to give age specific death rates for the area. T…,"The ONS definition of suicide includes deaths given an underlying cause of intentional self harm or an injury/poisoning of undetermined intent. In England and Wales, it has been c…",https://fingertips.phe.org.uk/api/indicator_metadata/csv/by_indicator_id?indicator_ids=93972,https://fingertips.phe.org.uk/api,include_in_tiered_nav,benchmark_lollipop,trend_line,"Default to a direct comparison view because neighbourhood users usually need to know how the selected area compares with borough and London before exploring detail. Direct-label Selected, Borough and London and keep the scale consistent across similar indicators. Default hidden from first-load navigation. Show simple comparator badges and a one-line interpretation first.",Full harvested Fingertips indicator.,
api::ohid fingertips api::fingertips_93865::score_average_attainment_8_score_among_children_eligible_for_free_school_meals_f,fingertips_93865,Average Attainment 8 Score among children eligible for Free School Meals (FSM),Average Attainment 8 Score among children eligible for Free School Me…,OHID Fingertips API,"Children, Families & Young People",Early years and child health,Health & Wellbeing,"Health, disability & care",hidden,False,exclude_for_now,hidden_for_now,LOW,Region,official_region,annual,Annual,,score,positive,higher_is_better,snapshot_comparison,True,benchmark_lollipop,benchmark_lollipop,trend_line,,benchmark_lollipop|trend_line,benchmark_lollipop|trend_line,benchmark_lollipop,direct_labelled_markers_selected_borough_london,Compare selected neighbourhood(s) to borough and London using direct-labelled markers; preserve multi-borough logic.,trend_line,Enable trend toggle when multiple periods are available; default to latest 12 to 24 periods for monthly series.,none,none,No choropleth by default.,none,none,Use a shared baseline and consistent scale across comparators; marker charts may crop the axis if it improves readability without exaggeration.,"Direct-label Selected, Borough and London markers; avoid legends.",Keep backgrounds plain and gridlines light; do not rely on colour alone; prefer direct labels over legends; use accessible contrast and provide plain-language help text.,"Snapshot comparisons show the latest available position; small differences may not be practically meaningful, so keep comparator labels and units explicit.",Default to a direct comparison view because neighbourhood users usually need to know how the selected area compares with borough and London before exploring detail.,Does the scale exaggerate small differences or make very large benchmark gaps meaningless?,"Direct-label Selected, Borough and London and keep the scale consistent across similar indicators.",Do not surface by default; keep behind search or All indicators mode. Lead with a simple sentence: above or below borough and London.,Default hidden from first-load navigation. Show simple comparator badges and a one-line interpretation first.,no,population_weighted_mean,"The geography is not strong enough for the current app, but the indicator may still be worth keeping in reserve.",Total Attainment 8 Scores of pupils eligible for Free School Meals (numerator) divided by the Total number of children aged 15-16 (Key Stage 4) on FSM (denomin…,"The data include all state-funded schools include local authority maintained mainstream schools, academies, free schools, city technology colleges, further education colleges with…",https://explore-education-statistics.service.gov.uk/data-tables#subjectTabs-createTable,https://fingertips.phe.org.uk/api,exclude_from_default_nav,benchmark_lollipop,trend_line,"Default to a direct comparison view because neighbourhood users usually need to know how the selected area compares with borough and London before exploring detail. Direct-label Selected, Borough and London and keep the scale consistent across similar indicators. Default hidden from first-load navigation. Show simple comparator badges and a one-line interpretation first.",Full harvested Fingertips indicator.,
api::ohid fingertips api::fingertips_93378::score_average_attainment_8_score,fingertips_93378,Average Attainment 8 score,Average Attainment 8 score,OHID Fingertips API,"Children, Families & Young People",Early years and child health,Health & Wellbeing,"Health, disability & care",hidden,False,exclude_for_now,hidden_for_now,LOW,Region,official_region,snapshot,,,score,positive,higher_is_better,snapshot_comparison,False,benchmark_lollipop,benchmark_lollipop,ranked_distribution,,benchmark_lollipop|ranked_distribution,benchmark_lollipop|ranked_distribution,benchmark_lollipop,direct_labelled_markers_selected_borough_london,Compare selected neighbourhood(s) to borough and London using direct-labelled markers; preserve multi-borough logic.,none,Trend not a default focus.,none,none,No choropleth by default.,none,none,Use a shared baseline and consistent scale across comparators; marker charts may crop the axis if it improves readability without exaggeration.,"Direct-label Selected, Borough and London markers; avoid legends.",Keep backgrounds plain and gridlines light; do not rely on colour alone; prefer direct labels over legends; use accessible contrast and provide plain-language help text.,"Snapshot comparisons show the latest available position; small differences may not be practically meaningful, so keep comparator labels and units explicit.",Default to a direct comparison view because neighbourhood users usually need to know how the selected area compares with borough and London before exploring detail.,Does the scale exaggerate small differences or make very large benchmark gaps meaningless?,"Direct-label Selected, Borough and London and keep the scale consistent across similar indicators.",Do not surface by default; keep behind search or All indicators mode. Lead with a simple sentence: above or below borough and London.,Default hidden from first-load navigation. Show simple comparator badges and a one-line interpretation first.,no,population_weighted_mean,"The geography is not strong enough for the current app, but the indicator may still be worth keeping in reserve.",Numerator divided by denominator. Value is provided pre-calculated in the dataset download from Department for Education.,"Due to the COVID-19 pandemic, the summer https://www.gov.uk/government/publications/coronavirus-covid-19-school-and-college-performance-measures/coronavirus-covid-19-school-and-co…",https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-4-performance/2023-24',https://fingertips.phe.org.uk/api,exclude_from_default_nav,benchmark_lollipop,ranked_distribution,"Default to a direct comparison view because neighbourhood users usually need to know how the selected area compares with borough and London before exploring detail. Direct-label Selected, Borough and London and keep the scale consistent across similar indicators. Default hidden from first-load navigation. Show simple comparator badges and a one-line interpretation first.",Full harvested Fingertips indicator.,
api::ohid fingertips api::fingertips_93381::score_average_attainment_8_score_of_children_in_care,fingertips_93381,Average Attainment 8 score of children in care,Average Attainment 8 score of children in care,OHID Fingertips API,"Children, Families & Young People",Early years and child health,Health & Wellbeing,"Health, disability & care",hidden,False,exclude_for_now,hidden_for_now,LOW,Region,official_region,snapshot,,,score,positive,higher_is_better,snapshot_comparison,False,benchmark_lollipop,benchmark_lollipop,ranked_distribution,,benchmark_lollipop|ranked_distribution,benchmark_lollipop|ranked_distribution,benchmark_lollipop,direct_labelled_markers_selected_borough_london,Compare selected neighbourhood(s) to borough and London using direct-labelled markers; preserve multi-borough logic.,none,Trend not a default focus.,none,none,No choropleth by default.,none,none,Use a shared baseline and consistent scale across comparators; marker charts may crop the axis if it improves readability without exaggeration.,"Direct-label Selected, Borough and London markers; avoid legends.",Keep backgrounds plain and gridlines light; do not rely on colour alone; prefer direct labels over legends; use accessible contrast and provide plain-language help text.,"Snapshot comparisons show the latest available position; small differences may not be practically meaningful, so keep comparator labels and units explicit.",Default to a direct comparison view because neighbourhood users usually need to know how the selected area compares with borough and London before exploring detail.,Does the scale exaggerate small differences or make very large benchmark gaps meaningless?,"Direct-label Selected, Borough and London and keep the scale consistent across similar indicators.",Do not surface by default; keep behind search or All indicators mode. Lead with a simple sentence: above or below borough and London.,Default hidden from first-load navigation. Show simple comparator badges and a one-line interpretation first.,no,population_weighted_mean,"The geography is not strong enough for the current app, but the indicator may still be worth keeping in reserve.","Values, counts and denominators for England and upper tier local authorities and regions are provided pre-calculated in the dataset download from Department fo…","Due to the COVID-19 pandemic, the summer https://www.gov.uk/government/publications/coronavirus-covid-19-school-and-college-performance-measures/coronavirus-covid-19-school-and-co…",https://explore-education-statistics.service.gov.uk/find-statistics/outcomes-for-children-in-need-including-children-looked-after-by-local-authorities-in-england/2024',https://fingertips.phe.org.uk/api,exclude_from_default_nav,benchmark_lollipop,ranked_distribution,"Default to a direct comparison view because neighbourhood users usually need to know how the selected area compares with borough and London before exploring detail. Direct-label Selected, Borough and London and keep the scale consistent across similar indicators. Default hidden from first-load navigation. Show simple comparator badges and a one-line interpretation first.",Full harvested Fingertips indicator.,
