date,geography,geography code,Proficiency in English language: Main language is English (English or Welsh in Wales),Proficiency in English language: Main language is not English (English or Welsh in Wales),Proficiency in English language: Main language is not English (English or Welsh in Wales): Can speak English very well,Proficiency in English language: Main language is not English (English or Welsh in Wales): Can speak English well,Proficiency in English language: Main language is not English (English or Welsh in Wales): Cannot speak English,Proficiency in English language: Main language is not English (English or Welsh in Wales): Cannot speak English well,Proficiency in English language: Total: All usual residents aged 3 years and over
2021,Barnet 010A,E01000117,1481,209,97,81,3,28,1690
2021,Barnet 010B,E01000118,1692,314,148,103,4,59,2006
2021,Barnet 009C,E01000119,1371,389,172,134,13,70,1760
2021,Barnet 009D,E01000120,1269,209,92,77,5,35,1478
2021,Barnet 010C,E01000121,1217,220,87,86,7,40,1437
2021,Barnet 009E,E01000122,1250,228,107,95,4,22,1478
2021,Barnet 010D,E01000123,1361,345,156,126,10,53,1706
2021,Barnet 010E,E01000124,1348,461,233,163,13,52,1809
2021,Barnet 026A,E01000126,1537,644,241,261,15,127,2181
2021,Barnet 024B,E01000127,1067,430,165,162,15,88,1497
2021,Barnet 024C,E01000128,1350,630,246,278,12,94,1980
2021,Barnet 024D,E01000129,941,613,218,260,17,118,1554
2021,Barnet 021A,E01000130,1313,556,217,222,15,102,1869
2021,Barnet 024E,E01000131,1236,676,275,275,11,115,1912
2021,Barnet 021B,E01000132,1072,475,170,208,13,84,1547
2021,Barnet 021C,E01000133,1168,427,184,176,6,61,1595
2021,Barnet 024F,E01000134,1131,588,233,238,12,105,1719
2021,Barnet 038A,E01000135,1266,373,182,126,12,53,1639
2021,Barnet 038B,E01000136,1221,238,129,68,3,38,1459
2021,Barnet 041A,E01000137,1134,459,200,186,4,69,1593
2021,Barnet 040A,E01000138,1082,487,175,199,11,102,1569
2021,Barnet 041B,E01000139,1040,309,162,103,5,39,1349
2021,Barnet 041C,E01000140,1442,440,232,139,17,52,1882
2021,Barnet 039A,E01000141,1198,608,230,243,14,121,1806
2021,Barnet 040B,E01000142,1475,672,322,239,17,94,2147
2021,Barnet 041D,E01000143,1180,363,153,137,4,69,1543
2021,Barnet 038C,E01000144,1011,582,267,175,22,118,1593
2021,Barnet 037A,E01000145,1248,302,148,110,5,39,1550
2021,Barnet 038D,E01000146,1305,517,273,151,5,88,1822
2021,Barnet 043F,E01000147,1069,783,288,359,18,118,1852
2021,Barnet 036A,E01000150,1453,715,292,291,9,123,2168
2021,Barnet 026B,E01000151,1143,492,185,193,15,99,1635
2021,Barnet 026C,E01000152,1875,669,339,230,26,74,2544
2021,Barnet 026D,E01000153,1399,445,170,179,20,76,1844
2021,Barnet 026E,E01000154,1241,601,232,246,15,108,1842
2021,Barnet 022A,E01000156,1593,375,206,129,1,39,1968
2021,Barnet 022B,E01000157,1240,290,143,99,4,44,1530
2021,Barnet 015A,E01000158,1161,259,114,93,3,49,1420
2021,Barnet 015B,E01000159,1446,295,139,105,5,46,1741
2021,Barnet 015C,E01000160,1408,479,229,157,11,82,1887
2021,Barnet 015D,E01000161,1419,534,235,182,16,101,1953
2021,Barnet 015E,E01000162,1282,327,155,97,10,65,1609
2021,Barnet 022C,E01000163,1171,455,206,160,20,69,1626
2021,Barnet 022D,E01000164,1285,370,171,134,13,52,1655
2021,Barnet 022E,E01000165,1322,426,181,169,9,67,1748
2021,Barnet 003A,E01000166,1340,217,103,76,3,35,1557
2021,Barnet 002A,E01000167,1154,194,98,63,2,31,1348
2021,Barnet 003B,E01000168,1313,177,91,63,6,17,1490
2021,Barnet 003C,E01000169,1355,215,93,84,7,31,1570
2021,Barnet 006A,E01000170,1524,315,134,117,6,58,1839
2021,Barnet 006B,E01000171,1601,548,215,193,23,117,2149
2021,Barnet 003D,E01000172,1443,161,83,56,1,21,1604
2021,Barnet 006C,E01000173,1456,187,107,51,4,25,1643
2021,Barnet 006D,E01000174,1361,322,118,131,16,57,1683
2021,Barnet 006E,E01000175,1602,313,112,157,5,39,1915
2021,Barnet 027A,E01000176,1440,241,107,88,9,37,1681
2021,Barnet 029A,E01000177,1348,241,149,69,1,22,1589
2021,Barnet 027B,E01000178,1395,232,111,74,6,41,1627
2021,Barnet 029B,E01000179,1304,384,234,123,0,27,1688
2021,Barnet 029C,E01000180,1217,342,180,101,11,50,1559
2021,Barnet 029D,E01000181,1364,282,173,77,1,31,1646
2021,Barnet 029E,E01000182,1345,236,146,64,3,23,1581
2021,Barnet 033A,E01000183,1227,241,137,71,5,28,1468
2021,Barnet 027C,E01000184,1309,516,233,215,8,60,1825
2021,Barnet 029F,E01000185,1082,366,175,111,7,73,1448
2021,Barnet 014A,E01000186,1454,242,126,85,10,21,1696
2021,Barnet 014B,E01000187,1465,200,76,85,4,35,1665
2021,Barnet 014C,E01000188,1344,195,116,53,3,23,1539
2021,Barnet 014D,E01000189,1778,551,269,186,15,81,2329
2021,Barnet 014E,E01000190,1418,262,104,114,6,38,1680
2021,Barnet 014F,E01000191,1254,248,121,97,4,26,1502
2021,Barnet 018A,E01000192,1417,506,206,206,14,80,1923
2021,Barnet 018B,E01000193,1315,561,238,226,17,80,1876
2021,Barnet 018C,E01000194,1209,627,249,255,13,110,1836
2021,Barnet 013A,E01000195,1416,527,187,219,7,114,1943
2021,Barnet 028A,E01000196,1341,708,320,252,17,119,2049
2021,Barnet 023A,E01000197,1331,455,204,157,10,84,1786
2021,Barnet 025A,E01000198,1739,357,177,131,1,48,2096
2021,Barnet 025B,E01000199,1322,204,108,71,2,23,1526
2021,Barnet 028B,E01000200,1546,368,182,122,4,60,1914
2021,Barnet 028C,E01000201,1301,205,123,50,6,26,1506
2021,Barnet 028D,E01000202,1309,302,168,97,7,30,1611
2021,Barnet 028E,E01000203,1334,454,171,176,13,94,1788
2021,Barnet 025C,E01000204,1427,222,123,66,6,27,1649
2021,Barnet 035A,E01000205,1274,162,121,23,2,16,1436
2021,Barnet 033B,E01000206,1286,191,100,67,2,22,1477
2021,Barnet 033C,E01000207,1308,226,109,71,4,42,1534
2021,Barnet 033D,E01000208,1312,255,157,56,6,36,1567
2021,Barnet 035B,E01000209,1291,135,105,24,0,6,1426
2021,Barnet 033E,E01000210,1261,218,135,54,9,20,1479
2021,Barnet 035C,E01000211,1380,664,275,263,12,114,2044
2021,Barnet 035D,E01000212,1072,245,128,84,2,31,1317
2021,Barnet 033F,E01000213,1215,94,66,21,0,7,1309
2021,Barnet 038E,E01000214,1283,300,154,106,3,37,1583
2021,Barnet 037B,E01000215,1687,297,156,84,5,52,1984
2021,Barnet 035E,E01000216,1507,387,216,115,7,49,1894
2021,Barnet 035F,E01000217,1453,237,90,114,4,29,1690
2021,Barnet 037C,E01000218,1435,311,159,105,5,42,1746
2021,Barnet 037D,E01000219,1576,461,190,189,6,76,2037
2021,Barnet 037E,E01000220,1387,375,157,128,13,77,1762
2021,Barnet 039B,E01000221,982,368,133,159,9,67,1350
2021,Barnet 040C,E01000222,1345,639,243,257,9,130,1984
2021,Barnet 039C,E01000223,1322,634,253,234,19,128,1956
2021,Barnet 040D,E01000224,1098,536,194,226,25,91,1634
2021,Barnet 037F,E01000225,1641,145,78,46,5,16,1786
2021,Barnet 018D,E01000226,1167,516,182,230,15,89,1683
2021,Barnet 018E,E01000227,1395,421,188,150,10,73,1816
2021,Barnet 007A,E01000228,1193,219,101,87,6,25,1412
2021,Barnet 013B,E01000229,1240,377,160,144,10,63,1617
2021,Barnet 013C,E01000230,1612,260,119,105,5,31,1872
2021,Barnet 013D,E01000231,1373,368,180,140,8,40,1741
2021,Barnet 013E,E01000232,1502,320,155,109,12,44,1822
2021,Barnet 013F,E01000233,1474,391,176,154,7,54,1865
2021,Barnet 021D,E01000234,1406,296,132,109,6,49,1702
2021,Barnet 021E,E01000235,1360,443,186,172,10,75,1803
2021,Barnet 034A,E01000236,1486,306,124,131,11,40,1792
2021,Barnet 032A,E01000237,1331,678,300,238,13,127,2009
2021,Barnet 034B,E01000238,1539,455,204,183,6,62,1994
2021,Barnet 031A,E01000239,1309,662,295,248,9,110,1971
2021,Barnet 031B,E01000240,1182,497,218,203,5,71,1679
2021,Barnet 031C,E01000241,1348,381,144,162,5,70,1729
2021,Barnet 032B,E01000242,1339,202,101,64,1,36,1541
2021,Barnet 032C,E01000243,1396,672,318,259,10,85,2068
2021,Barnet 032D,E01000244,1032,556,243,217,10,86,1588
2021,Barnet 032E,E01000245,1332,656,268,289,10,89,1988
2021,Barnet 002B,E01000246,1349,132,77,35,3,17,1481
2021,Barnet 002C,E01000247,1463,172,92,54,3,23,1635
2021,Barnet 001A,E01000248,1496,131,79,34,4,14,1627
2021,Barnet 001B,E01000249,1438,130,90,28,3,9,1568
2021,Barnet 001C,E01000250,2066,470,222,153,12,83,2536
2021,Barnet 002D,E01000251,1800,372,159,157,11,45,2172
2021,Barnet 002E,E01000252,1393,265,116,107,5,37,1658
2021,Barnet 007B,E01000253,1728,171,102,52,3,14,1899
2021,Barnet 001D,E01000254,1453,116,65,35,3,13,1569
2021,Barnet 017A,E01000255,1377,274,141,81,10,42,1651
2021,Barnet 016A,E01000256,1499,344,148,130,4,62,1843
2021,Barnet 017B,E01000257,1578,422,202,143,7,70,2000
2021,Barnet 016B,E01000258,1530,298,135,113,8,42,1828
2021,Barnet 025D,E01000259,2002,543,305,156,11,71,2545
2021,Barnet 025E,E01000260,1543,522,224,209,10,79,2065
2021,Barnet 017C,E01000261,1523,200,91,89,2,18,1723
2021,Barnet 016C,E01000263,1398,70,43,23,2,2,1468
2021,Barnet 016D,E01000264,1307,430,164,183,9,74,1737
2021,Barnet 011A,E01000265,1408,436,198,146,10,82,1844
2021,Barnet 011B,E01000266,1282,116,65,37,2,12,1398
2021,Barnet 005A,E01000267,1234,242,112,87,7,36,1476
2021,Barnet 005B,E01000268,1535,460,188,181,11,80,1995
2021,Barnet 005C,E01000269,1216,131,57,51,0,23,1347
2021,Barnet 005D,E01000270,1300,194,98,62,6,28,1494
2021,Barnet 008A,E01000271,1344,254,109,95,6,44,1598
2021,Barnet 008B,E01000272,1261,131,68,38,2,23,1392
2021,Barnet 008C,E01000273,1269,344,158,120,9,57,1613
2021,Barnet 011C,E01000274,1527,351,156,127,5,63,1878
2021,Barnet 012A,E01000275,1263,428,224,132,13,59,1691
2021,Barnet 020A,E01000276,1233,260,127,77,3,53,1493
2021,Barnet 012B,E01000277,1131,462,229,163,5,65,1593
2021,Barnet 020B,E01000278,1151,290,141,102,7,40,1441
2021,Barnet 007C,E01000279,1207,133,78,42,3,10,1340
2021,Barnet 007D,E01000280,1178,133,62,45,2,24,1311
2021,Barnet 008D,E01000281,1354,338,177,110,11,40,1692
2021,Barnet 008E,E01000282,1418,322,166,109,7,40,1740
2021,Barnet 012C,E01000283,1169,166,84,70,1,11,1335
2021,Barnet 012D,E01000284,1260,490,204,188,10,88,1750
2021,Barnet 004A,E01000285,1240,224,114,72,7,31,1464
2021,Barnet 007E,E01000286,1375,296,173,86,7,30,1671
2021,Barnet 004B,E01000287,1369,218,104,89,4,21,1587
2021,Barnet 004C,E01000288,1287,222,118,80,2,22,1509
2021,Barnet 004D,E01000289,1256,282,121,112,6,43,1538
2021,Barnet 007F,E01000290,1428,162,81,58,2,21,1590
2021,Barnet 004E,E01000291,1258,243,113,76,12,42,1501
2021,Barnet 001E,E01000292,1300,206,119,62,1,24,1506
2021,Barnet 001F,E01000293,1490,229,119,79,7,24,1719
2021,Barnet 004F,E01000294,1418,334,192,109,6,27,1752
2021,Barnet 023B,E01000295,1194,357,175,127,5,50,1551
2021,Barnet 023C,E01000296,1189,522,236,193,11,82,1711
2021,Barnet 027D,E01000297,950,414,189,135,14,76,1364
2021,Barnet 023D,E01000298,1168,485,216,192,13,64,1653
2021,Barnet 019A,E01000299,1266,820,343,294,26,157,2086
2021,Barnet 019B,E01000300,1242,366,203,103,10,50,1608
2021,Barnet 020C,E01000301,1124,319,155,99,6,59,1443
2021,Barnet 019C,E01000302,1120,610,280,209,22,99,1730
2021,Barnet 020D,E01000303,1123,324,166,100,7,51,1447
2021,Barnet 020E,E01000304,1141,366,179,123,7,57,1507
2021,Barnet 036B,E01000305,933,631,257,252,15,107,1564
2021,Barnet 036C,E01000306,920,956,322,411,22,201,1876
2021,Barnet 039D,E01000307,1036,558,211,245,17,85,1594
2021,Barnet 036D,E01000308,1477,518,255,187,8,68,1995
2021,Barnet 031D,E01000309,1300,684,285,289,20,90,1984
2021,Barnet 034C,E01000310,1344,777,306,284,25,162,2121
2021,Barnet 034D,E01000311,1476,213,93,79,3,38,1689
2021,Barnet 036E,E01000312,1143,559,218,243,6,92,1702
2021,Barnet 036F,E01000313,1091,744,311,299,17,117,1835
2021,Barnet 032F,E01000314,1334,773,338,310,19,106,2107
2021,Barnet 022F,E01000315,1301,370,133,144,18,75,1671
2021,Barnet 027E,E01000316,1547,657,289,239,15,114,2204
2021,Barnet 019D,E01000317,1161,376,186,114,19,57,1537
2021,Barnet 019E,E01000318,1429,472,207,170,13,82,1901
2021,Barnet 027F,E01000319,1151,202,92,72,8,30,1353
2021,Barnet 011D,E01000320,1487,392,185,144,12,51,1879
2021,Barnet 012E,E01000321,1337,559,252,183,18,106,1896
2021,Barnet 011E,E01000322,1331,467,207,179,9,72,1798
2021,Barnet 019F,E01000323,1494,820,313,346,18,143,2314
2021,Barnet 015F,E01000324,1472,314,131,129,5,49,1786
2021,Bexley 014A,E01000325,1528,62,30,17,2,13,1590
2021,Bexley 014B,E01000326,1213,97,51,39,0,7,1310
2021,Bexley 017A,E01000327,1449,138,65,56,1,16,1587
2021,Bexley 017B,E01000328,1503,81,44,27,3,7,1584
2021,Bexley 017C,E01000329,1459,171,94,46,6,25,1630
2021,Bexley 017D,E01000330,1419,174,81,57,7,29,1593
2021,Bexley 017E,E01000331,1518,101,57,34,0,10,1619
2021,Bexley 005A,E01000332,1370,175,83,53,6,33,1545
2021,Bexley 003A,E01000333,1632,192,83,77,3,29,1824
2021,Bexley 006A,E01000334,1423,196,87,76,3,30,1619
2021,Bexley 003B,E01000335,2032,562,208,223,19,112,2594
2021,Bexley 003C,E01000336,1539,372,155,140,16,61,1911
2021,Bexley 003D,E01000337,1436,224,98,82,2,42,1660
2021,Bexley 003E,E01000338,1453,334,132,143,12,47,1787
2021,Bexley 025A,E01000339,1478,90,50,27,4,9,1568
2021,Bexley 018A,E01000340,1428,84,36,32,2,14,1512
2021,Bexley 022A,E01000341,1427,73,42,23,2,6,1500
2021,Bexley 022B,E01000342,1387,84,45,24,2,13,1471
2021,Bexley 022C,E01000343,1370,91,54,30,0,7,1461
2021,Bexley 025B,E01000344,1480,68,35,26,0,7,1548
2021,Bexley 022D,E01000345,1276,30,21,7,0,2,1306
2021,Bexley 021A,E01000346,1459,76,37,16,2,21,1535
2021,Bexley 021B,E01000347,1350,103,61,30,1,11,1453
2021,Bexley 020A,E01000348,1421,45,28,10,1,6,1466
2021,Bexley 020B,E01000349,1585,75,45,16,1,13,1660
2021,Bexley 021C,E01000350,1368,66,27,18,3,18,1434
2021,Bexley 024A,E01000351,1474,66,36,18,2,10,1540
2021,Bexley 021D,E01000352,1453,109,51,41,5,12,1562
2021,Bexley 011A,E01000353,1524,87,59,17,4,7,1611
2021,Bexley 011B,E01000354,1340,110,63,31,4,12,1450
2021,Bexley 011C,E01000355,1331,80,46,24,0,10,1411
2021,Bexley 009A,E01000356,1359,153,85,38,2,28,1512
2021,Bexley 009B,E01000357,1261,94,60,21,3,10,1355
2021,Bexley 011D,E01000358,1437,167,102,46,0,19,1604
2021,Bexley 009C,E01000359,1143,82,43,14,3,22,1225
2021,Bexley 015A,E01000360,1575,264,122,96,4,42,1839
2021,Bexley 020C,E01000361,1444,103,52,26,4,21,1547
2021,Bexley 015B,E01000362,1628,179,97,62,1,19,1807
2021,Bexley 020D,E01000363,1363,135,71,41,4,19,1498
2021,Bexley 023A,E01000364,1512,135,63,57,2,13,1647
2021,Bexley 015C,E01000365,1492,167,64,67,10,26,1659
2021,Bexley 015D,E01000366,1382,195,109,52,4,30,1577
2021,Bexley 010A,E01000367,1935,229,119,74,5,31,2164
2021,Bexley 010B,E01000368,1468,143,59,55,4,25,1611
2021,Bexley 014C,E01000369,1572,108,44,47,4,13,1680
2021,Bexley 014D,E01000370,1407,111,55,39,3,14,1518
2021,Bexley 014E,E01000371,1445,96,51,28,3,14,1541
2021,Bexley 010C,E01000372,1483,163,71,58,7,27,1646
2021,Bexley 008A,E01000373,1014,203,93,88,2,20,1217
2021,Bexley 019A,E01000374,1397,125,64,41,6,14,1522
2021,Bexley 019B,E01000375,1778,255,126,88,3,38,2033
2021,Bexley 019C,E01000376,1399,156,99,40,0,17,1555
2021,Bexley 019D,E01000377,1350,73,37,27,1,8,1423
2021,Bexley 019F,E01000379,1526,141,62,61,7,11,1667
2021,Bexley 010D,E01000380,1576,107,49,41,1,16,1683
2021,Bexley 028A,E01000381,1494,57,34,14,1,8,1551
2021,Bexley 027A,E01000382,1461,72,37,22,4,9,1533
2021,Bexley 028B,E01000383,1474,65,33,21,3,8,1539
2021,Bexley 027B,E01000384,1547,100,56,30,1,13,1647
2021,Bexley 028C,E01000385,1766,160,79,56,4,21,1926
2021,Bexley 028D,E01000386,1339,147,57,67,2,21,1486
2021,Bexley 027C,E01000387,1443,64,34,21,1,8,1507
2021,Bexley 016A,E01000388,1342,133,84,37,1,11,1475
2021,Bexley 020E,E01000389,1499,153,101,41,3,8,1652
2021,Bexley 020F,E01000390,1224,66,41,13,2,10,1290
2021,Bexley 021E,E01000391,1541,146,54,66,5,21,1687
2021,Bexley 016B,E01000392,1548,335,154,134,5,42,1883
2021,Bexley 020G,E01000393,1441,207,120,57,0,30,1648
2021,Bexley 015E,E01000394,1433,146,91,41,1,13,1579
2021,Bexley 018B,E01000395,1353,133,68,38,4,23,1486
2021,Bexley 018C,E01000396,1300,108,69,27,3,9,1408
2021,Bexley 029A,E01000398,1360,190,91,56,6,37,1550
2021,Bexley 029B,E01000399,1297,224,116,75,8,25,1521
2021,Bexley 029C,E01000400,1286,239,113,82,9,35,1525
2021,Bexley 013A,E01000401,1494,256,123,79,7,47,1750
2021,Bexley 005B,E01000402,1358,175,67,74,7,27,1533
2021,Bexley 004A,E01000403,2079,210,84,86,7,33,2289
2021,Bexley 004B,E01000404,1943,333,141,127,10,55,2276
2021,Bexley 004C,E01000405,1251,236,124,72,4,36,1487
2021,Bexley 005C,E01000406,1732,290,118,109,7,56,2022
2021,Bexley 005D,E01000407,1586,219,129,68,6,16,1805
2021,Bexley 004D,E01000408,1360,353,150,130,5,68,1713
2021,Bexley 016C,E01000409,1521,158,74,54,5,25,1679
2021,Bexley 018D,E01000410,1429,163,90,46,6,21,1592
2021,Bexley 016D,E01000411,1344,109,56,33,1,19,1453
2021,Bexley 018E,E01000412,1505,198,110,53,3,32,1703
2021,Bexley 018F,E01000413,1216,92,43,33,3,13,1308
2021,Bexley 016E,E01000414,1494,344,161,119,6,58,1838
2021,Bexley 016F,E01000415,1265,165,99,44,1,21,1430
2021,Bexley 002A,E01000416,1270,329,119,127,12,71,1599
2021,Bexley 006B,E01000417,1448,225,110,76,5,34,1673
2021,Bexley 002B,E01000418,1510,360,154,121,10,75,1870
2021,Bexley 006C,E01000419,1283,169,84,60,3,22,1452
2021,Bexley 006D,E01000420,1360,115,66,39,2,8,1475
2021,Bexley 009D,E01000421,1385,94,49,31,2,12,1479
2021,Bexley 002C,E01000422,1131,155,56,55,5,39,1286
