date,geography,geography code,"Household language (English and Welsh): All adults in household have English in England, or English or Welsh in Wales as a main language","Household language (English and Welsh): At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language","Household language (English and Welsh): No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language","Household language (English and Welsh): No people in household have English in England, or English or Welsh in Wales as a main language",Household language (English and Welsh): Total: All households
2021,Barking and Dagenham 010D,E01000108,485,65,34,101,685
2021,Barking and Dagenham 002C,E01000110,372,74,22,54,522
2021,Barking and Dagenham 002D,E01000111,550,84,30,84,748
2021,Barking and Dagenham 002E,E01000112,474,88,40,97,699
2021,Barking and Dagenham 002F,E01000113,428,93,36,85,642
2021,Barking and Dagenham 004E,E01000114,540,91,46,80,757
2021,Barnet 009A,E01000115,374,70,8,29,481
2021,Barnet 009B,E01000116,483,74,19,42,618
2021,Barnet 010A,E01000117,573,52,18,51,694
2021,Barnet 010B,E01000118,586,84,17,64,751
2021,Barnet 009C,E01000119,425,107,19,77,628
2021,Barnet 009D,E01000120,384,66,5,42,497
2021,Barnet 010C,E01000121,418,62,13,32,525
2021,Barnet 009E,E01000122,384,72,13,50,519
2021,Barnet 010D,E01000123,549,81,24,77,731
2021,Barnet 010E,E01000124,572,80,35,105,792
2021,Barnet 026A,E01000126,456,144,45,124,769
2021,Barnet 024B,E01000127,329,75,37,73,514
2021,Barnet 024C,E01000128,377,118,36,104,635
2021,Barnet 024D,E01000129,306,92,35,141,574
2021,Barnet 021A,E01000130,405,96,41,116,658
2021,Barnet 024E,E01000131,393,120,36,164,713
2021,Barnet 021B,E01000132,291,103,37,74,505
2021,Barnet 021C,E01000133,382,83,31,81,577
2021,Barnet 024F,E01000134,362,105,30,139,636
2021,Barnet 038A,E01000135,436,66,16,108,626
2021,Barnet 038B,E01000136,425,64,10,66,565
2021,Barnet 041A,E01000137,402,96,79,96,673
2021,Barnet 040A,E01000138,389,86,30,150,655
2021,Barnet 041B,E01000139,368,87,25,65,545
2021,Barnet 041C,E01000140,616,87,29,135,867
2021,Barnet 039A,E01000141,455,116,28,188,787
2021,Barnet 040B,E01000142,535,103,47,207,892
2021,Barnet 041D,E01000143,465,62,22,130,679
2021,Barnet 038C,E01000144,381,82,27,253,743
2021,Barnet 037A,E01000145,321,72,12,83,488
2021,Barnet 038D,E01000146,551,95,18,204,868
2021,Barnet 043F,E01000147,291,127,21,121,560
2021,Barnet 036A,E01000150,461,138,37,139,775
2021,Barnet 026B,E01000151,384,80,54,138,656
2021,Barnet 026C,E01000152,592,123,73,140,928
2021,Barnet 026D,E01000153,502,95,34,111,742
2021,Barnet 026E,E01000154,421,101,42,143,707
2021,Barnet 022A,E01000156,539,87,44,77,747
2021,Barnet 022B,E01000157,501,62,31,76,670
2021,Barnet 015A,E01000158,403,62,22,59,546
2021,Barnet 015B,E01000159,491,88,19,51,649
2021,Barnet 015C,E01000160,566,84,29,126,805
2021,Barnet 015D,E01000161,534,97,38,140,809
2021,Barnet 015E,E01000162,379,71,15,87,552
2021,Barnet 022C,E01000163,543,78,44,136,801
2021,Barnet 022D,E01000164,448,93,28,79,648
2021,Barnet 022E,E01000165,489,86,26,105,706
2021,Barnet 003A,E01000166,540,52,16,45,653
2021,Barnet 002A,E01000167,427,42,16,35,520
2021,Barnet 003B,E01000168,462,53,5,37,557
2021,Barnet 003C,E01000169,565,47,25,58,695
2021,Barnet 006A,E01000170,541,66,25,65,697
2021,Barnet 006B,E01000171,711,86,43,157,997
2021,Barnet 003D,E01000172,512,55,11,29,607
2021,Barnet 006C,E01000173,507,53,20,29,609
2021,Barnet 006D,E01000174,590,57,27,88,762
2021,Barnet 006E,E01000175,519,75,15,34,643
2021,Barnet 027A,E01000176,574,59,18,69,720
2021,Barnet 029A,E01000177,549,68,26,52,695
2021,Barnet 027B,E01000178,534,62,19,62,677
2021,Barnet 029B,E01000179,551,83,30,107,771
2021,Barnet 029C,E01000180,491,82,25,71,669
2021,Barnet 029D,E01000181,520,71,17,77,685
2021,Barnet 029E,E01000182,587,60,13,72,732
2021,Barnet 033A,E01000183,465,56,20,62,603
2021,Barnet 027C,E01000184,448,112,28,121,709
2021,Barnet 029F,E01000185,432,99,22,91,644
2021,Barnet 014A,E01000186,418,46,5,41,510
2021,Barnet 014B,E01000187,492,48,8,45,593
2021,Barnet 014C,E01000188,413,52,11,31,507
2021,Barnet 014D,E01000189,678,120,40,141,979
2021,Barnet 014E,E01000190,452,61,12,44,569
2021,Barnet 014F,E01000191,447,42,16,50,555
2021,Barnet 018A,E01000192,484,70,37,118,709
2021,Barnet 018B,E01000193,453,101,24,133,711
2021,Barnet 018C,E01000194,422,72,62,147,703
2021,Barnet 013A,E01000195,485,70,64,103,722
2021,Barnet 028A,E01000196,679,99,40,273,1091
2021,Barnet 023A,E01000197,474,97,30,132,733
2021,Barnet 025A,E01000198,591,82,28,78,779
2021,Barnet 025B,E01000199,535,59,12,51,657
2021,Barnet 028B,E01000200,682,65,33,95,875
2021,Barnet 028C,E01000201,430,45,6,45,526
2021,Barnet 028D,E01000202,457,69,19,70,615
2021,Barnet 028E,E01000203,466,92,27,99,684
2021,Barnet 025C,E01000204,556,65,8,64,693
2021,Barnet 035A,E01000205,505,42,21,36,604
2021,Barnet 033B,E01000206,415,58,11,38,522
2021,Barnet 033C,E01000207,514,52,19,60,645
2021,Barnet 033D,E01000208,494,74,17,50,635
2021,Barnet 035B,E01000209,666,29,13,34,742
2021,Barnet 033E,E01000210,469,50,15,51,585
2021,Barnet 035C,E01000211,545,132,72,176,925
2021,Barnet 035D,E01000212,401,69,11,71,552
2021,Barnet 033F,E01000213,397,34,3,18,452
2021,Barnet 038E,E01000214,588,70,9,108,775
2021,Barnet 037B,E01000215,522,64,11,111,708
2021,Barnet 035E,E01000216,487,65,25,144,721
2021,Barnet 035F,E01000217,422,43,10,78,553
2021,Barnet 037C,E01000218,415,61,5,101,582
2021,Barnet 037D,E01000219,431,79,22,125,657
2021,Barnet 037E,E01000220,448,83,11,136,678
2021,Barnet 039B,E01000221,307,84,35,102,528
2021,Barnet 040C,E01000222,408,127,38,158,731
2021,Barnet 039C,E01000223,419,111,52,165,747
2021,Barnet 040D,E01000224,296,122,26,113,557
2021,Barnet 037F,E01000225,480,47,7,44,578
2021,Barnet 018D,E01000226,371,88,28,112,599
2021,Barnet 018E,E01000227,419,84,18,78,599
2021,Barnet 007A,E01000228,351,56,19,32,458
2021,Barnet 013B,E01000229,406,65,40,73,584
2021,Barnet 013C,E01000230,524,53,14,68,659
2021,Barnet 013D,E01000231,438,78,33,70,619
2021,Barnet 013E,E01000232,549,56,27,73,705
2021,Barnet 013F,E01000233,466,77,28,85,656
2021,Barnet 021D,E01000234,523,61,27,62,673
2021,Barnet 021E,E01000235,441,98,34,82,655
2021,Barnet 034A,E01000236,557,43,14,84,698
2021,Barnet 032A,E01000237,420,95,32,178,725
2021,Barnet 034B,E01000238,429,87,26,102,644
2021,Barnet 031A,E01000239,574,110,42,208,934
2021,Barnet 031B,E01000240,369,124,23,110,626
2021,Barnet 031C,E01000241,501,68,27,106,702
2021,Barnet 032B,E01000242,480,48,12,55,595
2021,Barnet 032C,E01000243,557,97,31,216,901
2021,Barnet 032D,E01000244,351,104,19,152,626
2021,Barnet 032E,E01000245,531,101,44,201,877
2021,Barnet 002B,E01000246,567,30,18,29,644
2021,Barnet 002C,E01000247,630,43,13,45,731
2021,Barnet 001A,E01000248,635,44,5,35,719
2021,Barnet 001B,E01000249,545,39,14,21,619
2021,Barnet 001C,E01000250,895,92,16,144,1147
2021,Barnet 002D,E01000251,838,76,29,114,1057
2021,Barnet 002E,E01000252,646,49,21,78,794
2021,Barnet 007B,E01000253,597,73,12,27,709
2021,Barnet 001D,E01000254,569,39,8,17,633
2021,Barnet 017A,E01000255,477,95,19,41,632
2021,Barnet 016A,E01000256,517,71,21,68,677
2021,Barnet 017B,E01000257,677,99,40,96,912
2021,Barnet 016B,E01000258,614,72,17,73,776
2021,Barnet 025D,E01000259,709,118,37,117,981
2021,Barnet 025E,E01000260,580,98,44,118,840
2021,Barnet 017C,E01000261,597,48,3,29,677
2021,Barnet 016C,E01000263,458,32,3,8,501
2021,Barnet 016D,E01000264,497,73,27,119,716
2021,Barnet 011A,E01000265,547,76,39,110,772
2021,Barnet 011B,E01000266,445,35,3,24,507
2021,Barnet 005A,E01000267,454,55,14,56,579
2021,Barnet 005B,E01000268,673,76,47,136,932
2021,Barnet 005C,E01000269,467,35,17,27,546
2021,Barnet 005D,E01000270,516,62,12,46,636
2021,Barnet 008A,E01000271,481,63,13,57,614
2021,Barnet 008B,E01000272,430,35,7,27,499
2021,Barnet 008C,E01000273,543,66,23,109,741
2021,Barnet 011C,E01000274,517,82,30,69,698
2021,Barnet 012A,E01000275,457,78,19,115,669
2021,Barnet 020A,E01000276,382,52,15,47,496
2021,Barnet 012B,E01000277,525,56,25,138,744
2021,Barnet 020B,E01000278,375,53,13,62,503
2021,Barnet 007C,E01000279,437,47,9,18,511
2021,Barnet 007D,E01000280,438,42,3,24,507
2021,Barnet 008D,E01000281,587,73,32,89,781
2021,Barnet 008E,E01000282,527,66,13,86,692
2021,Barnet 012C,E01000283,395,38,8,35,476
2021,Barnet 012D,E01000284,570,80,15,148,813
2021,Barnet 004A,E01000285,488,49,26,50,613
2021,Barnet 007E,E01000286,522,44,30,69,665
2021,Barnet 004B,E01000287,499,52,20,38,609
2021,Barnet 004C,E01000288,441,57,19,48,565
2021,Barnet 004D,E01000289,405,74,27,43,549
2021,Barnet 007F,E01000290,590,41,16,22,669
2021,Barnet 004E,E01000291,492,57,15,54,618
2021,Barnet 001E,E01000292,552,39,10,54,655
2021,Barnet 001F,E01000293,573,60,7,67,707
2021,Barnet 004F,E01000294,574,55,14,88,731
2021,Barnet 023B,E01000295,456,84,17,92,649
2021,Barnet 023C,E01000296,475,99,25,168,767
2021,Barnet 027D,E01000297,339,73,23,103,538
2021,Barnet 023D,E01000298,464,81,35,153,733
2021,Barnet 019A,E01000299,502,140,35,228,905
2021,Barnet 019B,E01000300,483,86,18,94,681
2021,Barnet 020C,E01000301,378,64,19,74,535
2021,Barnet 019C,E01000302,491,76,39,232,838
2021,Barnet 020D,E01000303,366,71,16,81,534
2021,Barnet 020E,E01000304,414,77,27,85,603
2021,Barnet 036B,E01000305,353,113,24,162,652
2021,Barnet 036C,E01000306,254,131,30,203,618
2021,Barnet 039D,E01000307,304,120,24,105,553
2021,Barnet 036D,E01000308,670,93,25,170,958
2021,Barnet 031D,E01000309,394,128,24,163,709
2021,Barnet 034C,E01000310,442,152,29,222,845
2021,Barnet 034D,E01000311,410,45,5,60,520
2021,Barnet 036E,E01000312,453,94,33,141,721
2021,Barnet 036F,E01000313,365,124,37,185,711
2021,Barnet 032F,E01000314,424,147,23,187,781
2021,Barnet 022F,E01000315,460,92,18,65,635
2021,Barnet 027E,E01000316,552,115,48,176,891
2021,Barnet 019D,E01000317,434,70,19,118,641
2021,Barnet 019E,E01000318,386,129,20,99,634
2021,Barnet 027F,E01000319,383,65,9,41,498
2021,Barnet 011D,E01000320,596,75,24,114,809
2021,Barnet 012E,E01000321,548,74,33,174,829
2021,Barnet 011E,E01000322,538,91,59,115,803
2021,Barnet 019F,E01000323,614,87,40,278,1019
2021,Barnet 015F,E01000324,480,77,29,64,650
2021,Bexley 014A,E01000325,548,20,6,11,585
2021,Bexley 014B,E01000326,491,17,11,22,541
2021,Bexley 017A,E01000327,558,33,11,23,625
2021,Bexley 017B,E01000328,564,26,12,10,612
2021,Bexley 017C,E01000329,567,47,18,27,659
2021,Bexley 017D,E01000330,684,30,18,36,768
2021,Bexley 017E,E01000331,569,25,6,17,617
2021,Bexley 005A,E01000332,531,44,9,31,615
2021,Bexley 003A,E01000333,711,41,17,41,810
2021,Bexley 006A,E01000334,553,37,9,38,637
2021,Bexley 003B,E01000335,779,87,33,146,1045
2021,Bexley 003C,E01000336,633,51,21,85,790
2021,Bexley 003D,E01000337,527,47,21,50,645
2021,Bexley 003E,E01000338,544,55,18,75,692
2021,Bexley 025A,E01000339,553,22,13,13,601
2021,Bexley 018A,E01000340,586,15,6,18,625
2021,Bexley 022A,E01000341,588,17,5,15,625
2021,Bexley 022B,E01000342,594,16,7,18,635
2021,Bexley 022C,E01000343,518,18,8,14,558
2021,Bexley 025B,E01000344,598,19,6,14,637
2021,Bexley 022D,E01000345,472,9,3,6,490
2021,Bexley 021A,E01000346,587,8,6,16,617
2021,Bexley 021B,E01000347,576,28,6,18,628
2021,Bexley 020A,E01000348,499,18,3,5,525
2021,Bexley 020B,E01000349,615,17,10,11,653
2021,Bexley 021C,E01000350,486,25,4,8,523
2021,Bexley 024A,E01000351,585,20,9,11,625
2021,Bexley 021D,E01000352,606,29,11,26,672
2021,Bexley 011A,E01000353,610,23,9,13,655
2021,Bexley 011B,E01000354,554,22,10,21,607
2021,Bexley 011C,E01000355,560,21,10,10,601
2021,Bexley 009A,E01000356,551,30,18,28,627
2021,Bexley 009B,E01000357,444,24,9,11,488
2021,Bexley 011D,E01000358,588,31,23,24,666
2021,Bexley 009C,E01000359,457,14,5,19,495
2021,Bexley 015A,E01000360,643,42,23,64,772
2021,Bexley 020C,E01000361,550,23,12,15,600
2021,Bexley 015B,E01000362,687,41,18,31,777
2021,Bexley 020D,E01000363,498,37,8,21,564
2021,Bexley 023A,E01000364,577,35,15,22,649
2021,Bexley 015C,E01000365,626,30,15,38,709
2021,Bexley 015D,E01000366,566,43,12,39,660
2021,Bexley 010A,E01000367,685,49,16,47,797
2021,Bexley 010B,E01000368,556,27,16,28,627
2021,Bexley 014C,E01000369,576,34,6,13,629
2021,Bexley 014D,E01000370,577,21,10,27,635
2021,Bexley 014E,E01000371,580,23,6,20,629
2021,Bexley 010C,E01000372,515,35,15,25,590
2021,Bexley 008A,E01000373,362,28,34,37,461
2021,Bexley 019A,E01000374,465,22,12,25,524
2021,Bexley 019B,E01000375,667,47,23,48,785
2021,Bexley 019C,E01000376,539,27,16,29,611
2021,Bexley 019D,E01000377,612,20,3,17,652
2021,Bexley 019F,E01000379,592,27,11,41,671
2021,Bexley 010D,E01000380,851,18,8,27,904
2021,Bexley 028A,E01000381,621,24,7,6,658
2021,Bexley 027A,E01000382,549,16,8,12,585
2021,Bexley 028B,E01000383,590,12,13,10,625
2021,Bexley 027B,E01000384,699,27,8,25,759
2021,Bexley 028C,E01000385,705,37,18,26,786
2021,Bexley 028D,E01000386,563,27,14,41,645
2021,Bexley 027C,E01000387,588,23,3,11,625
2021,Bexley 016A,E01000388,528,44,10,17,599
2021,Bexley 020E,E01000389,643,30,12,30,715
2021,Bexley 020F,E01000390,479,22,0,14,515
2021,Bexley 021E,E01000391,568,32,23,16,639
2021,Bexley 016B,E01000392,603,66,27,68,764
2021,Bexley 020G,E01000393,531,43,19,33,626
2021,Bexley 015E,E01000394,594,23,20,33,670
2021,Bexley 018B,E01000395,484,28,16,18,546
2021,Bexley 018C,E01000396,451,26,10,19,506
2021,Bexley 029A,E01000398,529,40,11,29,609
2021,Bexley 029B,E01000399,526,41,17,40,624
2021,Bexley 029C,E01000400,485,37,19,50,591
2021,Bexley 013A,E01000401,572,48,21,49,690
2021,Bexley 005B,E01000402,559,36,18,39,652
2021,Bexley 004A,E01000403,947,39,27,47,1060
2021,Bexley 004B,E01000404,811,57,38,84,990
2021,Bexley 004C,E01000405,463,36,18,47,564
2021,Bexley 005C,E01000406,650,46,16,76,788
2021,Bexley 005D,E01000407,650,43,18,46,757
2021,Bexley 004D,E01000408,432,59,25,68,584
2021,Bexley 016C,E01000409,575,35,20,24,654
2021,Bexley 018D,E01000410,517,35,20,26,598
2021,Bexley 016D,E01000411,508,18,10,18,554
2021,Bexley 018E,E01000412,560,25,23,36,644
2021,Bexley 018F,E01000413,478,27,9,11,525
2021,Bexley 016E,E01000414,575,67,21,71,734
2021,Bexley 016F,E01000415,447,35,13,22,517
2021,Bexley 002A,E01000416,363,71,18,58,510
2021,Bexley 006B,E01000417,591,53,18,42,704
2021,Bexley 002B,E01000418,544,73,23,87,727
2021,Bexley 006C,E01000419,507,35,13,28,583
2021,Bexley 006D,E01000420,546,22,7,18,593
2021,Bexley 009D,E01000421,558,17,10,13,598
2021,Bexley 002C,E01000422,410,45,16,32,503
2021,Bexley 025C,E01000423,559,23,10,13,605
2021,Bexley 026A,E01000424,714,17,5,11,747
2021,Bexley 025D,E01000425,579,13,7,8,607
2021,Bexley 026B,E01000426,644,36,9,19,708
2021,Bexley 026C,E01000427,865,21,6,17,909
2021,Bexley 027D,E01000428,812,36,12,48,908
2021,Bexley 008B,E01000429,616,31,16,49,712
2021,Bexley 008C,E01000430,614,37,15,41,707
2021,Bexley 008D,E01000431,376,24,10,21,431
2021,Bexley 008F,E01000433,625,35,14,39,713
2021,Bexley 008G,E01000434,520,24,11,19,574
2021,Bexley 010E,E01000435,526,33,8,20,587
2021,Bexley 011E,E01000436,574,19,5,24,622
2021,Bexley 007A,E01000437,461,24,7,11,503
2021,Bexley 007B,E01000438,538,24,16,25,603
2021,Bexley 007C,E01000439,455,24,10,26,515
2021,Bexley 007D,E01000440,466,31,3,13,513
2021,Bexley 007E,E01000441,623,23,11,43,700
2021,Bexley 006E,E01000442,570,23,11,22,626
2021,Bexley 024B,E01000443,489,12,5,11,517
2021,Bexley 023B,E01000444,599,24,3,9,635
2021,Bexley 024C,E01000445,636,19,6,12,673
2021,Bexley 024D,E01000446,570,14,3,9,596
2021,Bexley 023C,E01000447,819,32,8,24,883
2021,Bexley 023D,E01000448,491,14,3,4,512
2021,Bexley 023E,E01000449,615,12,3,13,643
2021,Bexley 009E,E01000450,551,39,14,29,633
2021,Bexley 009F,E01000451,554,30,10,27,621
2021,Bexley 009G,E01000452,431,34,5,23,493
2021,Bexley 013B,E01000453,447,28,7,33,515
2021,Bexley 013C,E01000454,534,34,15,46,629
2021,Bexley 013D,E01000455,500,53,19,44,616
2021,Bexley 013E,E01000456,417,32,11,22,482
2021,Bexley 026D,E01000457,881,39,20,55,995
2021,Bexley 027E,E01000458,652,15,8,11,686
2021,Bexley 027F,E01000459,808,21,13,41,883
2021,Bexley 022E,E01000460,448,20,6,8,482
2021,Bexley 024E,E01000461,534,17,8,11,570
2021,Bexley 026E,E01000462,735,38,24,39,836
2021,Bexley 025E,E01000463,425,17,5,7,454
2021,Bexley 002D,E01000464,466,39,10,37,552
2021,Bexley 002E,E01000465,634,31,16,49,730
2021,Bexley 001A,E01000466,492,41,15,52,600
2021,Bexley 001B,E01000467,499,40,15,41,595
2021,Bexley 001C,E01000468,761,82,33,67,943
2021,Bexley 001D,E01000469,504,49,19,67,639
2021,Bexley 002F,E01000470,434,32,10,52,528
2021,Brent 026A,E01000471,215,110,34,132,491
2021,Brent 029A,E01000472,447,141,66,260,914
2021,Brent 029B,E01000473,323,173,48,246,790
2021,Brent 026B,E01000474,198,164,26,132,520
2021,Brent 029C,E01000475,267,140,51,156,614
2021,Brent 026C,E01000476,241,137,27,150,555
2021,Brent 026D,E01000477,277,126,53,226,682
2021,Brent 029D,E01000478,301,173,46,196,716
2021,Brent 009A,E01000479,315,98,18,83,514
2021,Brent 006A,E01000480,295,109,25,84,513
2021,Brent 009B,E01000481,373,85,34,109,601
2021,Brent 009D,E01000483,363,112,42,140,657
2021,Brent 006B,E01000484,424,91,24,75,614
2021,Brent 006C,E01000485,300,81,35,115,531
2021,Brent 006D,E01000486,292,115,25,88,520
2021,Brent 006E,E01000487,350,112,43,194,699
2021,Brent 022A,E01000488,330,101,22,98,551
2021,Brent 030A,E01000489,460,97,14,117,688
2021,Brent 023A,E01000490,581,74,34,198,887
2021,Brent 030B,E01000491,609,118,19,117,863
2021,Brent 030C,E01000492,314,73,9,56,452
2021,Brent 030D,E01000493,411,89,13,51,564
2021,Brent 023B,E01000494,460,81,27,153,721
2021,Brent 023C,E01000495,558,66,24,133,781
2021,Brent 011A,E01000497,430,106,23,126,685
2021,Brent 010B,E01000498,253,82,42,137,514
2021,Brent 011B,E01000499,291,128,28,137,584
2021,Brent 011C,E01000501,492,113,37,117,759
2021,Brent 011D,E01000502,383,121,47,107,658
2021,Brent 011E,E01000503,485,123,34,135,777
2021,Brent 018A,E01000504,474,89,29,104,696
2021,Brent 018B,E01000505,384,96,7,82,569
2021,Brent 014A,E01000506,346,96,35,190,667
2021,Brent 018C,E01000507,302,108,11,98,519
2021,Brent 025A,E01000508,503,136,48,176,863
2021,Brent 014B,E01000509,227,100,19,109,455
2021,Brent 014C,E01000510,291,82,48,154,575
2021,Brent 014D,E01000511,325,94,39,104,562
2021,Brent 018D,E01000512,424,89,18,121,652
2021,Brent 002A,E01000513,262,102,25,77,466
2021,Brent 002B,E01000514,289,90,27,89,495
2021,Brent 003A,E01000515,368,100,46,134,648
2021,Brent 002C,E01000516,353,148,52,194,747
2021,Brent 003B,E01000517,255,110,22,103,490
2021,Brent 005A,E01000518,369,113,35,111,628
2021,Brent 005B,E01000519,324,104,44,157,629
2021,Brent 002D,E01000520,378,77,43,113,611
2021,Brent 025B,E01000521,516,116,47,242,921
2021,Brent 025C,E01000522,454,103,47,95,699
2021,Brent 031A,E01000523,494,127,66,178,865
2021,Brent 031B,E01000524,582,118,53,232,985
