date,geography,geography code,Multiple main languages in household: All household members have the same main language,Multiple main languages in household: Any other combination of multiple main languages,"Multiple main languages in household: Main language differs between generations, but not within partnerships",Multiple main languages in household: Main language differs within partnerships,Multiple main languages in household: One-person household,Multiple main languages in household: Total: All households
2021,Barnet 002A,E01000167,333,19,25,19,126,522
2021,Barnet 003B,E01000168,377,29,16,19,117,558
2021,Barnet 003C,E01000169,397,14,33,29,219,692
2021,Barnet 006A,E01000170,436,24,36,36,165,697
2021,Barnet 006B,E01000171,535,29,55,65,313,997
2021,Barnet 003D,E01000172,417,14,22,31,124,608
2021,Barnet 006C,E01000173,415,17,30,26,120,608
2021,Barnet 006D,E01000174,407,19,28,45,263,762
2021,Barnet 006E,E01000175,421,48,18,26,130,643
2021,Barnet 027A,E01000176,369,26,29,26,270,720
2021,Barnet 029A,E01000177,381,25,31,45,210,692
2021,Barnet 027B,E01000178,389,27,34,26,199,675
2021,Barnet 029B,E01000179,408,26,35,63,236,768
2021,Barnet 029C,E01000180,346,41,36,38,211,672
2021,Barnet 029D,E01000181,407,34,20,46,177,684
2021,Barnet 029E,E01000182,402,27,13,46,243,731
2021,Barnet 033A,E01000183,328,15,23,42,193,601
2021,Barnet 027C,E01000184,332,55,54,43,226,710
2021,Barnet 029F,E01000185,278,32,67,26,241,644
2021,Barnet 014A,E01000186,395,27,8,17,62,509
2021,Barnet 014B,E01000187,382,18,23,23,147,593
2021,Barnet 014C,E01000188,371,24,20,22,72,509
2021,Barnet 014D,E01000189,545,26,81,66,261,979
2021,Barnet 014E,E01000190,396,21,30,23,100,570
2021,Barnet 014F,E01000191,363,18,26,16,134,557
2021,Barnet 018A,E01000192,423,51,40,31,165,710
2021,Barnet 018B,E01000193,394,46,49,40,182,711
2021,Barnet 018C,E01000194,369,47,80,19,189,704
2021,Barnet 013A,E01000195,365,50,61,29,214,719
2021,Barnet 028A,E01000196,449,42,50,68,482,1091
2021,Barnet 023A,E01000197,387,58,33,58,195,731
2021,Barnet 025A,E01000198,461,38,39,40,201,779
2021,Barnet 025B,E01000199,389,28,24,21,195,657
2021,Barnet 028B,E01000200,443,35,36,37,322,873
2021,Barnet 028C,E01000201,371,22,11,22,100,526
2021,Barnet 028D,E01000202,381,39,22,40,134,616
2021,Barnet 028E,E01000203,394,38,61,32,158,683
2021,Barnet 025C,E01000204,419,36,16,26,195,692
2021,Barnet 035A,E01000205,376,10,22,34,164,606
2021,Barnet 033B,E01000206,358,44,14,13,94,523
2021,Barnet 033C,E01000207,371,26,23,28,195,643
2021,Barnet 033D,E01000208,394,37,24,34,146,635
2021,Barnet 035B,E01000209,368,7,13,23,329,740
2021,Barnet 033E,E01000210,378,26,11,39,130,584
2021,Barnet 035C,E01000211,366,79,92,57,330,924
2021,Barnet 035D,E01000212,320,34,20,32,150,556
2021,Barnet 033F,E01000213,326,18,7,17,86,454
2021,Barnet 038E,E01000214,373,32,20,40,308,773
2021,Barnet 037B,E01000215,398,26,18,35,230,707
2021,Barnet 035E,E01000216,377,37,25,35,244,718
2021,Barnet 035F,E01000217,376,24,11,26,116,553
2021,Barnet 037C,E01000218,362,42,17,21,142,584
2021,Barnet 037D,E01000219,354,54,42,27,182,659
2021,Barnet 037E,E01000220,316,46,23,33,259,677
2021,Barnet 039B,E01000221,218,28,80,22,179,527
2021,Barnet 040C,E01000222,348,68,73,41,200,730
2021,Barnet 039C,E01000223,345,57,87,39,220,748
2021,Barnet 040D,E01000224,269,63,58,41,128,559
2021,Barnet 037F,E01000225,346,16,14,26,176,578
2021,Barnet 018D,E01000226,321,47,61,19,153,601
2021,Barnet 018E,E01000227,401,36,42,28,93,600
2021,Barnet 007A,E01000228,319,25,35,17,63,459
2021,Barnet 013B,E01000229,346,34,56,25,123,584
2021,Barnet 013C,E01000230,429,22,30,20,158,659
2021,Barnet 013D,E01000231,378,33,53,30,123,617
2021,Barnet 013E,E01000232,428,24,40,24,187,703
2021,Barnet 013F,E01000233,419,42,37,35,125,658
2021,Barnet 021D,E01000234,426,28,34,29,156,673
2021,Barnet 021E,E01000235,368,47,55,39,146,655
2021,Barnet 034A,E01000236,423,30,16,24,205,698
2021,Barnet 032A,E01000237,413,75,45,42,152,727
2021,Barnet 034B,E01000238,405,57,30,39,111,642
2021,Barnet 031A,E01000239,388,66,52,54,374,934
2021,Barnet 031B,E01000240,314,78,35,46,152,625
2021,Barnet 031C,E01000241,388,36,32,37,207,700
2021,Barnet 032B,E01000242,343,16,23,24,189,595
2021,Barnet 032C,E01000243,434,59,41,53,313,900
2021,Barnet 032D,E01000244,281,56,47,44,196,624
2021,Barnet 032E,E01000245,413,50,76,44,295,878
2021,Barnet 002B,E01000246,402,9,20,22,190,643
2021,Barnet 002C,E01000247,425,14,15,30,248,732
2021,Barnet 001A,E01000248,436,16,10,31,228,721
2021,Barnet 001B,E01000249,442,4,19,31,123,619
2021,Barnet 001C,E01000250,621,24,38,60,402,1145
2021,Barnet 002D,E01000251,483,35,38,44,457,1057
2021,Barnet 002E,E01000252,426,20,23,30,293,792
2021,Barnet 007B,E01000253,475,25,20,41,150,711
2021,Barnet 001D,E01000254,414,15,11,23,169,632
2021,Barnet 017A,E01000255,355,39,44,34,158,630
2021,Barnet 016A,E01000256,426,25,42,27,157,677
2021,Barnet 017B,E01000257,446,38,65,49,314,912
2021,Barnet 016B,E01000258,451,29,29,44,228,781
2021,Barnet 025D,E01000259,572,43,69,54,243,981
2021,Barnet 025E,E01000260,472,43,69,44,210,838
2021,Barnet 017C,E01000261,389,21,14,19,236,679
2021,Barnet 016C,E01000263,394,16,6,15,70,501
2021,Barnet 016D,E01000264,383,34,44,36,217,714
2021,Barnet 011A,E01000265,430,36,43,45,218,772
2021,Barnet 011B,E01000266,387,10,12,15,82,506
2021,Barnet 005A,E01000267,365,22,25,28,138,578
2021,Barnet 005B,E01000268,471,21,64,54,322,932
2021,Barnet 005C,E01000269,371,14,22,18,122,547
2021,Barnet 005D,E01000270,368,18,21,40,186,633
2021,Barnet 008A,E01000271,391,30,21,30,141,613
2021,Barnet 008B,E01000272,365,13,12,20,88,498
2021,Barnet 008C,E01000273,381,29,30,38,264,742
2021,Barnet 011C,E01000274,407,34,51,36,170,698
2021,Barnet 012A,E01000275,398,23,38,47,160,666
2021,Barnet 020A,E01000276,367,15,27,27,60,496
2021,Barnet 012B,E01000277,325,20,39,39,317,740
2021,Barnet 020B,E01000278,353,21,27,23,80,504
2021,Barnet 007C,E01000279,360,27,14,17,90,508
2021,Barnet 007D,E01000280,376,15,12,20,84,507
2021,Barnet 008D,E01000281,399,16,41,57,270,783
2021,Barnet 008E,E01000282,436,28,29,29,172,694
2021,Barnet 012C,E01000283,361,15,14,18,68,476
2021,Barnet 012D,E01000284,417,32,44,34,289,816
2021,Barnet 004A,E01000285,347,20,34,27,184,612
2021,Barnet 007E,E01000286,408,20,35,28,174,665
2021,Barnet 004B,E01000287,381,24,35,16,154,610
2021,Barnet 004C,E01000288,352,23,26,29,133,563
2021,Barnet 004D,E01000289,327,22,60,23,116,548
2021,Barnet 007F,E01000290,406,17,29,13,204,669
2021,Barnet 004E,E01000291,348,17,32,25,194,616
2021,Barnet 001E,E01000292,410,15,18,20,192,655
2021,Barnet 001F,E01000293,442,23,26,29,186,706
2021,Barnet 004F,E01000294,432,22,23,34,220,731
2021,Barnet 023B,E01000295,351,48,23,42,184,648
2021,Barnet 023C,E01000296,410,41,37,66,213,767
2021,Barnet 027D,E01000297,299,45,37,33,125,539
2021,Barnet 023D,E01000298,373,43,36,51,230,733
2021,Barnet 019A,E01000299,402,72,56,69,306,905
2021,Barnet 019B,E01000300,377,35,23,52,193,680
2021,Barnet 020C,E01000301,325,28,27,34,116,530
2021,Barnet 019C,E01000302,347,37,44,55,356,839
2021,Barnet 020D,E01000303,320,32,31,38,115,536
2021,Barnet 020E,E01000304,343,33,41,39,146,602
2021,Barnet 036B,E01000305,275,73,32,50,222,652
2021,Barnet 036C,E01000306,292,107,49,36,134,618
2021,Barnet 039D,E01000307,272,64,57,34,126,553
2021,Barnet 036D,E01000308,469,39,42,55,353,958
2021,Barnet 031D,E01000309,344,91,43,38,193,709
2021,Barnet 034C,E01000310,391,81,61,58,254,845
2021,Barnet 034D,E01000311,350,27,9,19,114,519
2021,Barnet 036E,E01000312,359,42,53,41,226,721
2021,Barnet 036F,E01000313,320,74,53,52,215,714
2021,Barnet 032F,E01000314,400,107,42,42,190,781
2021,Barnet 022F,E01000315,343,37,52,28,174,634
2021,Barnet 027E,E01000316,482,54,69,48,236,889
2021,Barnet 019D,E01000317,350,27,37,35,190,639
2021,Barnet 019E,E01000318,353,72,46,48,115,634
2021,Barnet 027F,E01000319,331,25,25,31,90,502
2021,Barnet 011D,E01000320,454,38,43,30,244,809
2021,Barnet 012E,E01000321,401,32,41,74,279,827
2021,Barnet 011E,E01000322,381,35,68,58,261,803
2021,Barnet 019F,E01000323,485,53,48,50,384,1020
2021,Barnet 015F,E01000324,388,36,38,39,148,649
2021,Bexley 014A,E01000325,466,9,11,6,92,584
2021,Bexley 014B,E01000326,394,7,12,11,118,542
2021,Bexley 017A,E01000327,432,8,16,21,146,623
2021,Bexley 017B,E01000328,441,7,15,17,132,612
2021,Bexley 017C,E01000329,423,16,21,28,170,658
2021,Bexley 017D,E01000330,407,15,26,12,308,768
2021,Bexley 017E,E01000331,440,7,14,11,145,617
2021,Bexley 005A,E01000332,402,22,13,19,158,614
2021,Bexley 003A,E01000333,474,15,25,22,272,808
2021,Bexley 006A,E01000334,423,11,25,12,166,637
2021,Bexley 003B,E01000335,626,47,37,50,288,1048
2021,Bexley 003C,E01000336,435,26,34,20,276,791
2021,Bexley 003D,E01000337,435,23,25,22,137,642
2021,Bexley 003E,E01000338,452,23,26,32,159,692
2021,Bexley 025A,E01000339,442,7,15,14,123,601
2021,Bexley 018A,E01000340,447,7,7,10,155,626
2021,Bexley 022A,E01000341,453,4,7,10,148,622
2021,Bexley 022B,E01000342,425,4,9,12,185,635
2021,Bexley 022C,E01000343,407,11,11,6,124,559
2021,Bexley 025B,E01000344,446,9,9,12,160,636
2021,Bexley 022D,E01000345,400,3,5,4,77,489
2021,Bexley 021A,E01000346,459,7,3,7,141,617
2021,Bexley 021B,E01000347,400,11,10,15,191,627
2021,Bexley 020A,E01000348,429,7,7,8,74,525
2021,Bexley 020B,E01000349,486,9,10,9,142,656
2021,Bexley 021C,E01000350,410,11,9,9,87,526
2021,Bexley 024A,E01000351,471,6,10,14,124,625
2021,Bexley 021D,E01000352,424,16,11,13,202,666
2021,Bexley 011A,E01000353,474,10,10,12,148,654
2021,Bexley 011B,E01000354,411,6,16,10,165,608
2021,Bexley 011C,E01000355,424,7,13,11,146,601
2021,Bexley 009A,E01000356,410,17,19,18,168,632
2021,Bexley 009B,E01000357,370,10,13,13,85,491
2021,Bexley 011D,E01000358,451,14,26,13,163,667
2021,Bexley 009C,E01000359,372,3,10,8,102,495
2021,Bexley 015A,E01000360,484,23,29,25,211,772
2021,Bexley 020C,E01000361,445,14,12,12,118,601
2021,Bexley 015B,E01000362,484,15,28,18,231,776
2021,Bexley 020D,E01000363,400,18,7,28,115,568
2021,Bexley 023A,E01000364,433,13,22,16,165,649
2021,Bexley 015C,E01000365,435,15,22,9,227,708
2021,Bexley 015D,E01000366,427,16,18,28,170,659
2021,Bexley 010A,E01000367,538,20,26,23,188,795
2021,Bexley 010B,E01000368,439,18,16,16,140,629
2021,Bexley 014C,E01000369,457,20,13,7,131,628
2021,Bexley 014D,E01000370,425,9,8,14,176,632
2021,Bexley 014E,E01000371,462,4,10,13,136,625
2021,Bexley 010C,E01000372,414,12,29,14,121,590
2021,Bexley 008A,E01000373,284,19,27,20,111,461
2021,Bexley 019A,E01000374,388,14,19,4,98,523
2021,Bexley 019B,E01000375,544,21,27,23,171,786
2021,Bexley 019C,E01000376,423,8,18,17,144,610
2021,Bexley 019D,E01000377,426,6,7,11,203,653
2021,Bexley 019F,E01000379,466,10,16,15,163,670
2021,Bexley 010D,E01000380,453,7,9,15,420,904
2021,Bexley 028A,E01000381,443,7,14,11,182,657
2021,Bexley 027A,E01000382,445,2,11,11,119,588
2021,Bexley 028B,E01000383,452,6,17,5,147,627
2021,Bexley 027B,E01000384,463,4,8,24,260,759
2021,Bexley 028C,E01000385,514,15,31,11,215,786
2021,Bexley 028D,E01000386,369,5,19,15,233,641
2021,Bexley 027C,E01000387,440,9,6,11,158,624
2021,Bexley 016A,E01000388,394,11,22,23,149,599
2021,Bexley 020E,E01000389,444,14,12,17,225,712
2021,Bexley 020F,E01000390,365,9,3,11,127,515
2021,Bexley 021E,E01000391,458,19,23,15,124,639
2021,Bexley 016B,E01000392,451,31,35,32,215,764
2021,Bexley 020G,E01000393,427,17,20,27,135,626
2021,Bexley 015E,E01000394,415,11,20,14,210,670
2021,Bexley 018B,E01000395,411,12,26,9,88,546
2021,Bexley 018C,E01000396,374,8,23,9,92,506
2021,Bexley 029A,E01000398,408,18,19,19,145,609
2021,Bexley 029B,E01000399,394,24,22,18,165,623
2021,Bexley 029C,E01000400,384,19,23,21,144,591
2021,Bexley 013A,E01000401,420,25,25,21,200,691
2021,Bexley 005B,E01000402,397,17,22,18,198,652
2021,Bexley 004A,E01000403,586,21,25,24,404,1060
2021,Bexley 004B,E01000404,565,25,36,39,326,991
2021,Bexley 004C,E01000405,378,19,23,14,131,565
2021,Bexley 005C,E01000406,531,14,23,34,186,788
2021,Bexley 005D,E01000407,450,21,19,28,240,758
2021,Bexley 004D,E01000408,387,36,41,18,100,582
2021,Bexley 016C,E01000409,446,20,23,17,150,656
2021,Bexley 018D,E01000410,419,17,21,18,122,597
2021,Bexley 016D,E01000411,406,11,9,12,117,555
2021,Bexley 018E,E01000412,442,8,27,16,150,643
2021,Bexley 018F,E01000413,371,13,15,8,118,525
2021,Bexley 016E,E01000414,430,29,29,31,208,727
2021,Bexley 016F,E01000415,373,16,23,11,95,518
2021,Bexley 002A,E01000416,330,43,34,17,86,510
2021,Bexley 006B,E01000417,431,25,16,33,197,702
2021,Bexley 002B,E01000418,426,25,41,42,195,729
2021,Bexley 006C,E01000419,395,18,22,11,136,582
2021,Bexley 006D,E01000420,423,11,7,11,138,590
2021,Bexley 009D,E01000421,434,9,13,7,135,598
2021,Bexley 002C,E01000422,260,19,35,13,178,505
2021,Bexley 025C,E01000423,446,2,15,16,125,604
2021,Bexley 026A,E01000424,473,7,8,9,253,750
2021,Bexley 025D,E01000425,494,5,8,7,91,605
2021,Bexley 026B,E01000426,469,12,12,22,192,707
2021,Bexley 026C,E01000427,541,6,11,12,340,910
2021,Bexley 027D,E01000428,452,12,13,22,405,904
2021,Bexley 008B,E01000429,419,15,17,15,240,706
2021,Bexley 008C,E01000430,524,16,25,15,126,706
2021,Bexley 008D,E01000431,284,14,14,8,111,431
2021,Bexley 008F,E01000433,482,14,21,16,181,714
2021,Bexley 008G,E01000434,387,12,13,11,150,573
2021,Bexley 010E,E01000435,376,14,12,15,167,584
2021,Bexley 011E,E01000436,492,11,6,5,106,620
2021,Bexley 007A,E01000437,351,11,11,11,119,503
2021,Bexley 007B,E01000438,442,8,21,13,118,602
2021,Bexley 007C,E01000439,362,9,13,13,119,516
2021,Bexley 007D,E01000440,362,12,12,12,116,514
2021,Bexley 007E,E01000441,478,8,16,13,184,699
2021,Bexley 006E,E01000442,437,11,13,12,153,626
2021,Bexley 024B,E01000443,367,4,4,8,133,516
2021,Bexley 023B,E01000444,486,10,8,8,122,634
2021,Bexley 024C,E01000445,475,5,8,13,172,673
2021,Bexley 024D,E01000446,456,2,7,10,122,597
2021,Bexley 023C,E01000447,541,10,11,26,293,881
2021,Bexley 023D,E01000448,385,3,8,7,110,513
2021,Bexley 023E,E01000449,451,2,4,8,178,643
2021,Bexley 009E,E01000450,443,11,25,21,133,633
2021,Bexley 009F,E01000451,479,14,16,14,102,625
2021,Bexley 009G,E01000452,366,20,7,15,83,491
2021,Bexley 013B,E01000453,390,12,14,12,86,514
2021,Bexley 013C,E01000454,399,22,19,14,176,630
2021,Bexley 013D,E01000455,446,23,36,18,98,621
2021,Bexley 013E,E01000456,378,12,15,18,59,482
2021,Bexley 026D,E01000457,542,18,21,24,389,994
2021,Bexley 027E,E01000458,420,6,10,7,243,686
2021,Bexley 027F,E01000459,494,9,19,8,353,883
2021,Bexley 022E,E01000460,364,4,8,16,93,485
2021,Bexley 024E,E01000461,471,7,13,7,74,572
2021,Bexley 026E,E01000462,457,11,27,29,312,836
2021,Bexley 025E,E01000463,348,4,9,9,83,453
2021,Bexley 002D,E01000464,312,25,16,14,185,552
2021,Bexley 002E,E01000465,377,18,20,11,303,729
2021,Bexley 001A,E01000466,363,27,20,13,177,600
2021,Bexley 001B,E01000467,407,20,18,24,125,594
2021,Bexley 001C,E01000468,632,35,59,31,186,943
2021,Bexley 001D,E01000469,394,19,30,26,170,639
2021,Bexley 002F,E01000470,301,10,23,11,183,528
2021,Brent 026A,E01000471,261,61,66,22,82,492
2021,Brent 029A,E01000472,449,41,117,74,234,915
2021,Brent 029B,E01000473,382,90,104,40,173,789
2021,Brent 026B,E01000474,262,88,91,21,58,520
2021,Brent 029C,E01000475,296,81,97,26,114,614
2021,Brent 026C,E01000476,291,83,69,18,93,554
2021,Brent 026D,E01000477,348,84,78,33,140,683
2021,Brent 029D,E01000478,337,82,107,42,146,714
2021,Brent 009A,E01000479,304,60,31,32,88,515
2021,Brent 006A,E01000480,287,57,50,32,86,512
2021,Brent 009B,E01000481,307,39,54,34,165,599
2021,Brent 009D,E01000483,312,46,86,35,178,657
2021,Brent 006B,E01000484,362,31,62,29,129,613
2021,Brent 006C,E01000485,273,43,57,21,137,531
2021,Brent 006D,E01000486,301,67,50,29,73,520
2021,Brent 006E,E01000487,333,69,66,34,196,698
2021,Brent 022A,E01000488,252,54,46,32,166,550
2021,Brent 030A,E01000489,299,69,36,38,246,688
