date,geography,geography code,National identity: Any other combination of only UK identities,National identity: Any other combination of only UK identities: Cornish and British only identity,National identity: Any other combination of only UK identities: Cornish only identity,National identity: Any other combination of only UK identities: Northern Irish and British only identity,National identity: Any other combination of only UK identities: Northern Irish only identity,National identity: Any other combination of only UK identities: Other,National identity: Any other combination of only UK identities: Scottish and British only identity,National identity: Any other combination of only UK identities: Scottish only identity,National identity: British only identity,National identity: English and British only identity,National identity: English only identity,National identity: Irish and at least one UK identity,National identity: Irish only identity,National identity: Non-UK identity only,National identity: Other identity and at least one UK identity,National identity: Other identity only,National identity: Total: All usual residents,National identity: UK identity and non-UK identity,National identity: Welsh and British only identity,National identity: Welsh only identity
2021,Barking and Dagenham 017B,E01000042,9,0,0,0,0,1,4,4,1116,105,167,2,2,440,41,438,1883,43,0,3
2021,Barking and Dagenham 019B,E01000043,2,0,0,0,1,0,0,1,976,80,121,0,1,326,31,325,1537,31,0,1
2021,Barking and Dagenham 016D,E01000044,3,0,0,0,0,1,1,1,1064,89,93,1,1,665,67,664,1985,68,0,3
2021,Barking and Dagenham 017C,E01000045,4,0,0,0,0,1,0,3,954,133,171,2,3,420,35,417,1721,37,1,1
2021,Barking and Dagenham 017D,E01000046,2,0,0,0,0,0,0,2,1103,129,208,0,4,463,50,459,1956,50,1,0
2021,Barking and Dagenham 021C,E01000049,2,0,0,0,0,0,1,1,1297,92,100,1,5,408,69,403,1973,70,2,2
2021,Barking and Dagenham 019C,E01000050,7,0,0,1,1,0,0,5,1002,79,81,0,10,585,82,575,1836,82,0,0
2021,Barking and Dagenham 021D,E01000051,7,0,0,2,2,1,1,1,620,39,36,1,3,364,40,361,1107,41,0,0
2021,Barking and Dagenham 019D,E01000052,3,0,0,0,1,0,0,2,1147,122,178,1,14,840,78,826,2371,79,0,2
2021,Barking and Dagenham 020A,E01000053,3,0,0,0,3,0,0,0,849,116,213,3,7,379,48,372,1614,51,1,2
2021,Barking and Dagenham 018A,E01000054,3,0,0,0,1,0,2,0,1037,109,269,2,6,405,47,399,1872,49,0,0
2021,Barking and Dagenham 018B,E01000055,1,0,0,0,0,1,0,0,905,158,236,0,8,367,37,359,1705,37,1,0
2021,Barking and Dagenham 018C,E01000056,2,0,0,0,0,1,0,1,980,141,233,1,13,301,44,288,1703,45,1,0
2021,Barking and Dagenham 012A,E01000057,2,0,0,0,0,0,0,2,839,87,176,0,9,404,43,395,1551,43,0,0
2021,Barking and Dagenham 018D,E01000058,5,0,0,0,1,1,1,2,1100,130,206,1,7,628,65,621,2135,66,0,0
2021,Barking and Dagenham 013C,E01000059,14,0,0,3,4,2,0,5,908,157,241,2,10,348,42,338,1712,44,0,0
2021,Barking and Dagenham 006B,E01000060,5,0,0,0,2,2,0,1,1257,178,301,0,8,379,60,371,2180,60,0,0
2021,Barking and Dagenham 006C,E01000061,6,0,0,0,0,4,0,2,1159,173,220,0,5,327,36,322,1922,36,1,0
2021,Barking and Dagenham 006D,E01000062,7,0,0,0,1,2,1,3,1173,193,305,1,11,499,37,488,2219,38,4,0
2021,Barking and Dagenham 004A,E01000063,2,0,0,0,0,0,2,0,980,171,235,1,7,347,40,340,1777,41,1,0
2021,Barking and Dagenham 006E,E01000064,9,0,0,0,4,0,0,5,1261,199,258,0,7,536,29,529,2295,29,2,1
2021,Barking and Dagenham 007A,E01000065,5,0,0,1,1,1,1,1,1017,188,289,0,13,445,37,432,1982,37,1,0
2021,Barking and Dagenham 011A,E01000066,3,0,0,1,1,1,0,0,1757,97,159,0,5,400,82,395,2498,82,0,0
2021,Barking and Dagenham 011B,E01000067,3,0,0,0,1,1,0,1,1540,125,158,1,5,365,44,360,2236,45,0,0
2021,Barking and Dagenham 016E,E01000068,9,0,0,0,0,3,0,6,1221,76,78,1,4,369,42,365,1797,43,1,0
2021,Barking and Dagenham 011C,E01000069,8,0,1,0,3,0,0,4,1559,108,147,1,2,228,43,226,2095,44,0,1
2021,Barking and Dagenham 011D,E01000070,4,0,0,0,2,2,0,0,1445,75,128,1,4,368,48,364,2072,49,0,3
2021,Barking and Dagenham 011E,E01000071,8,0,0,1,0,0,2,5,1748,86,174,1,9,530,59,521,2606,60,0,0
2021,Barking and Dagenham 017E,E01000072,7,0,0,1,1,3,0,2,1179,130,236,3,8,546,46,538,2149,49,1,1
2021,Barking and Dagenham 012B,E01000073,8,0,0,0,0,4,0,4,1036,125,225,0,5,407,42,402,1845,42,1,1
2021,Barking and Dagenham 012C,E01000074,4,0,0,0,0,0,0,4,988,98,259,0,4,378,29,374,1759,29,0,3
2021,Barking and Dagenham 012D,E01000075,6,0,0,0,2,0,1,3,1124,163,289,1,6,435,56,429,2080,57,5,1
2021,Barking and Dagenham 012E,E01000076,8,0,0,1,4,2,0,1,1199,177,234,1,2,488,53,486,2161,54,0,1
2021,Barking and Dagenham 008F,E01000077,7,0,0,0,2,2,0,3,991,130,195,0,2,366,27,364,1717,27,0,1
2021,Barking and Dagenham 007B,E01000078,2,0,0,0,0,1,0,1,1001,135,290,1,7,418,50,411,1898,51,0,1
2021,Barking and Dagenham 009E,E01000079,4,0,0,1,1,1,1,0,858,136,232,0,3,423,62,420,1715,62,0,0
2021,Barking and Dagenham 007C,E01000080,4,0,0,0,0,1,0,3,1016,144,221,0,6,372,19,366,1777,19,0,1
2021,Barking and Dagenham 007D,E01000081,0,0,0,0,0,0,0,0,1117,136,242,0,8,437,41,429,1974,41,0,1
2021,Barking and Dagenham 007E,E01000082,6,0,0,0,0,0,3,3,996,178,265,4,4,427,37,423,1914,41,0,1
2021,Barking and Dagenham 007F,E01000083,6,0,0,0,0,1,1,4,1040,156,292,2,3,374,46,371,1918,48,0,2
2021,Barking and Dagenham 013D,E01000084,2,0,0,0,1,1,0,0,712,98,254,2,2,327,43,325,1438,45,0,0
2021,Barking and Dagenham 013E,E01000085,9,0,0,0,0,0,5,4,834,141,218,0,3,406,38,403,1646,38,0,0
2021,Barking and Dagenham 013F,E01000086,3,0,0,0,3,0,0,0,730,127,210,2,4,331,43,327,1447,45,1,0
2021,Barking and Dagenham 020B,E01000087,1,0,0,0,1,0,0,0,899,95,217,0,6,364,56,358,1636,56,2,2
2021,Barking and Dagenham 020C,E01000088,3,0,0,0,1,0,0,2,1128,87,185,2,17,518,47,501,1975,49,5,0
2021,Barking and Dagenham 020D,E01000089,5,0,0,1,3,0,0,1,972,103,179,2,22,512,50,490,1824,52,0,1
2021,Barking and Dagenham 020E,E01000090,7,0,0,1,0,2,1,3,929,56,177,0,8,478,58,470,1705,58,0,0
2021,Barking and Dagenham 022A,E01000091,1,0,0,0,0,0,0,1,1290,108,173,1,3,463,55,460,2091,56,0,0
2021,Barking and Dagenham 022B,E01000093,4,0,0,0,0,1,1,2,1124,112,152,0,7,378,36,371,1807,36,0,1
2021,Barking and Dagenham 022C,E01000094,9,0,0,1,0,2,0,6,1516,102,113,0,5,658,63,653,2462,63,0,1
2021,Barking and Dagenham 018E,E01000095,4,0,0,0,1,0,0,3,1349,164,209,0,8,472,52,464,2250,52,0,0
2021,Barking and Dagenham 022D,E01000096,1,0,0,0,1,0,0,0,1087,99,110,0,0,320,41,320,1658,41,0,0
2021,Barking and Dagenham 023C,E01000097,7,0,0,0,1,1,1,4,1039,123,223,0,13,476,59,463,1933,59,0,6
2021,Barking and Dagenham 023D,E01000098,5,0,0,0,2,0,0,3,1163,136,208,1,7,372,52,365,1937,53,0,0
2021,Barking and Dagenham 023E,E01000099,6,0,1,0,0,0,0,5,1582,197,300,0,7,619,71,612,2776,71,1,0
2021,Barking and Dagenham 004B,E01000100,4,0,0,0,1,1,2,0,1036,140,250,0,5,432,78,427,1942,78,0,2
2021,Barking and Dagenham 004C,E01000101,4,0,0,0,3,0,1,0,892,129,232,0,6,388,55,382,1701,55,0,1
2021,Barking and Dagenham 007G,E01000102,5,0,0,0,2,1,0,2,961,150,231,2,17,397,38,380,1784,40,0,0
2021,Barking and Dagenham 014A,E01000103,3,0,0,0,1,0,1,1,1043,130,197,0,19,378,22,359,1774,22,0,1
2021,Barking and Dagenham 014B,E01000104,6,0,0,0,2,0,1,3,1136,149,188,0,5,390,44,385,1914,44,1,0
2021,Barking and Dagenham 014C,E01000105,5,0,0,1,3,0,0,1,1303,170,270,2,6,511,67,505,2329,69,0,1
2021,Barking and Dagenham 014D,E01000106,4,0,0,0,2,0,0,2,1231,129,255,0,8,522,63,514,2205,63,1,0
2021,Barking and Dagenham 010C,E01000107,3,0,0,0,0,0,0,3,930,108,271,2,15,427,47,412,1788,49,0,0
2021,Barking and Dagenham 010D,E01000108,6,0,0,1,1,0,1,3,990,138,275,2,8,436,68,428,1915,70,0,0
2021,Barking and Dagenham 002C,E01000110,6,0,0,0,2,4,0,0,1001,53,142,0,18,331,39,313,1573,39,1,0
2021,Barking and Dagenham 002D,E01000111,4,0,0,0,2,0,0,2,1181,133,221,0,26,567,47,541,2154,47,0,1
2021,Barking and Dagenham 002E,E01000112,6,0,0,0,0,1,0,5,1107,95,151,1,6,559,52,553,1973,53,0,2
2021,Barking and Dagenham 002F,E01000113,4,0,0,0,1,2,0,1,1038,115,156,2,30,608,69,578,1992,71,0,0
2021,Barking and Dagenham 004E,E01000114,1,0,0,0,0,0,0,1,1492,125,193,1,17,526,79,509,2419,80,0,2
2021,Barnet 009A,E01000115,6,0,1,0,0,1,1,3,992,93,83,1,18,165,50,147,1394,51,0,4
2021,Barnet 009B,E01000116,10,0,0,1,0,1,2,6,1146,109,155,8,31,240,75,209,1745,83,1,1
2021,Barnet 010A,E01000117,26,0,0,1,10,7,3,5,1084,125,244,5,19,199,53,180,1738,58,0,2
2021,Barnet 010B,E01000118,12,0,0,0,9,0,2,1,1274,121,239,8,32,305,84,273,2046,92,0,3
2021,Barnet 009C,E01000119,8,0,0,1,3,2,0,2,1221,118,100,2,10,269,67,259,1790,69,5,0
2021,Barnet 009D,E01000120,6,0,0,0,1,1,0,4,1073,81,59,1,17,206,60,189,1493,61,3,4
2021,Barnet 010C,E01000121,11,0,0,2,0,0,4,5,972,121,157,7,16,151,54,135,1478,61,1,4
2021,Barnet 009E,E01000122,19,0,0,0,4,3,7,5,999,80,94,8,25,222,85,197,1511,93,2,2
2021,Barnet 010D,E01000123,11,0,0,0,4,2,1,4,1042,133,131,3,22,343,95,321,1760,98,1,1
2021,Barnet 010E,E01000124,21,0,0,0,5,2,3,11,1002,160,156,2,26,433,90,407,1865,92,0,1
2021,Barnet 026A,E01000126,10,1,0,2,1,3,0,3,1416,106,130,4,18,499,104,481,2275,108,1,5
2021,Barnet 024B,E01000127,6,0,0,0,3,0,1,2,941,40,142,1,35,376,48,341,1557,49,0,3
2021,Barnet 024C,E01000128,8,0,0,1,5,1,1,0,1210,76,135,1,24,523,93,499,2047,94,0,1
2021,Barnet 024D,E01000129,10,0,0,0,4,2,4,0,865,57,112,2,21,515,40,494,1603,42,1,1
2021,Barnet 021A,E01000130,15,0,0,1,4,0,1,9,1062,101,147,0,18,500,110,482,1935,110,0,0
2021,Barnet 024E,E01000131,8,0,0,0,4,1,1,2,1131,58,98,7,36,634,84,598,2021,91,0,1
2021,Barnet 021B,E01000132,8,0,0,1,0,0,2,5,938,60,117,2,22,408,82,386,1618,84,0,3
2021,Barnet 021C,E01000133,10,0,1,1,1,0,0,7,968,76,159,3,20,372,55,352,1644,58,0,1
2021,Barnet 024F,E01000134,5,0,0,0,1,0,1,3,1020,76,106,3,15,555,56,540,1822,59,1,0
2021,Barnet 038A,E01000135,16,0,0,1,2,6,4,3,989,107,81,1,6,428,81,422,1703,82,0,0
2021,Barnet 038B,E01000136,12,0,0,0,2,0,3,7,899,108,56,0,4,312,92,308,1486,92,1,6
2021,Barnet 041A,E01000137,10,0,0,1,2,2,2,3,1049,65,59,3,16,390,77,374,1658,80,3,2
2021,Barnet 040A,E01000138,14,0,0,0,6,1,2,5,901,79,66,3,19,471,83,452,1619,86,0,2
2021,Barnet 041B,E01000139,14,0,0,0,0,2,2,10,738,88,90,1,18,378,70,360,1385,71,1,5
2021,Barnet 041C,E01000140,15,0,0,3,2,4,1,5,1038,102,92,8,18,545,152,527,1957,160,3,2
2021,Barnet 039A,E01000141,15,0,1,0,4,2,3,5,885,90,88,3,47,680,94,633,1867,97,2,10
2021,Barnet 040B,E01000142,11,0,0,1,4,2,0,4,1192,81,99,10,53,710,129,657,2235,139,1,2
2021,Barnet 041D,E01000143,15,0,0,2,5,2,2,4,966,94,122,8,37,416,47,379,1671,55,0,3
2021,Barnet 038C,E01000144,4,0,0,0,1,2,1,0,808,71,56,1,4,599,118,595,1659,119,2,0
2021,Barnet 037A,E01000145,4,0,0,0,3,0,1,0,1020,115,85,0,2,305,84,303,1614,84,0,1
2021,Barnet 038D,E01000146,15,0,0,2,3,3,3,4,868,159,97,0,17,619,113,602,1872,113,0,1
2021,Barnet 043F,E01000147,2,0,0,0,1,0,0,1,1063,46,58,2,22,672,69,650,1912,71,0,0
2021,Barnet 036A,E01000150,7,0,0,1,1,0,2,3,1317,71,100,4,49,655,100,606,2255,104,1,0
2021,Barnet 026B,E01000151,7,0,0,1,1,1,1,3,1055,111,96,2,35,397,54,362,1723,56,0,1
2021,Barnet 026C,E01000152,6,0,0,0,1,0,3,2,1647,118,112,3,16,641,164,625,2694,167,2,1
2021,Barnet 026D,E01000153,6,0,0,0,3,1,0,2,1171,118,166,5,10,391,69,381,1927,74,1,0
2021,Barnet 026E,E01000154,5,0,0,0,1,1,1,2,1162,66,79,6,12,499,93,487,1911,99,0,1
2021,Barnet 022A,E01000156,26,0,0,0,2,5,7,12,1156,116,116,13,35,441,155,406,2030,168,2,5
2021,Barnet 022B,E01000157,16,0,0,0,2,3,5,6,881,128,148,9,27,309,82,282,1582,91,4,5
2021,Barnet 015A,E01000158,16,0,3,0,2,2,3,6,886,94,124,2,34,273,66,239,1466,68,2,3
2021,Barnet 015B,E01000159,18,0,0,3,4,1,4,6,1094,121,189,5,29,275,79,246,1788,84,5,2
2021,Barnet 015C,E01000160,17,0,0,1,5,3,0,8,1106,125,112,3,8,492,92,484,1954,95,0,7
2021,Barnet 015D,E01000161,14,0,0,2,6,0,4,2,1234,101,107,6,19,478,92,459,2034,98,1,1
2021,Barnet 015E,E01000162,12,0,0,1,1,3,1,6,1080,82,106,3,30,270,93,240,1650,96,0,4
2021,Barnet 022C,E01000163,14,0,0,1,3,2,2,6,943,88,134,3,25,424,81,399,1694,84,4,3
2021,Barnet 022D,E01000164,20,0,0,2,2,1,3,12,1028,109,144,8,17,336,66,319,1714,74,0,3
2021,Barnet 022E,E01000165,14,0,1,1,4,0,0,8,1123,78,98,0,25,428,68,403,1812,68,1,2
2021,Barnet 003A,E01000166,10,0,0,0,1,5,0,4,1058,117,174,4,14,183,65,169,1616,69,1,4
2021,Barnet 002A,E01000167,13,0,0,1,1,2,6,3,772,124,251,4,16,181,39,165,1388,43,0,4
2021,Barnet 003B,E01000168,6,0,1,0,0,2,1,2,1029,131,118,1,8,169,53,161,1513,54,1,5
2021,Barnet 003C,E01000169,21,0,0,4,1,7,3,6,959,164,163,6,24,243,70,219,1634,76,1,7
2021,Barnet 006A,E01000170,11,0,0,0,1,3,2,5,1174,133,250,6,17,258,73,241,1908,79,1,2
2021,Barnet 006B,E01000171,12,0,0,2,2,5,2,1,1201,170,182,2,27,638,83,611,2290,85,2,0
2021,Barnet 003D,E01000172,23,0,0,5,6,7,1,4,1080,180,148,1,11,180,69,169,1689,70,3,5
2021,Barnet 006C,E01000173,13,0,0,2,3,3,4,1,1010,151,226,12,13,197,69,184,1690,81,6,6
2021,Barnet 006D,E01000174,13,0,0,1,1,4,3,4,1006,155,189,3,21,318,71,297,1759,74,0,4
2021,Barnet 006E,E01000175,6,0,0,0,2,0,0,4,1319,152,168,7,39,295,77,256,2031,84,2,5
2021,Barnet 027A,E01000176,21,0,2,0,0,5,6,8,1083,108,176,4,33,254,61,221,1727,65,2,18
2021,Barnet 029A,E01000177,27,0,0,0,7,5,4,11,925,136,135,6,34,341,90,307,1665,96,1,4
2021,Barnet 027B,E01000178,25,0,0,0,5,4,5,11,1024,124,114,3,35,294,72,259,1668,75,0,12
2021,Barnet 029B,E01000179,36,0,0,2,8,1,12,13,891,141,129,3,36,485,91,449,1789,94,4,9
2021,Barnet 029C,E01000180,9,0,0,0,2,0,1,6,861,157,141,1,18,369,72,351,1615,73,3,2
2021,Barnet 029D,E01000181,21,0,1,0,3,8,2,7,906,134,117,1,65,402,91,337,1685,92,4,9
2021,Barnet 029E,E01000182,18,0,0,0,3,4,2,9,873,141,120,7,20,323,125,303,1620,132,3,10
2021,Barnet 033A,E01000183,16,0,0,1,5,3,1,6,914,117,114,3,35,275,75,240,1523,78,2,7
2021,Barnet 027C,E01000184,20,0,0,2,5,2,5,6,1043,82,143,8,26,476,94,450,1873,102,0,7
2021,Barnet 029F,E01000185,9,0,0,0,1,1,3,4,927,76,77,2,15,297,80,282,1472,82,2,2
2021,Barnet 014A,E01000186,5,0,0,0,1,2,0,2,1235,197,93,0,6,197,42,191,1771,42,1,1
2021,Barnet 014B,E01000187,10,0,0,1,2,1,1,5,1196,142,126,0,11,199,62,188,1735,62,0,0
2021,Barnet 014C,E01000188,8,0,0,2,2,1,1,2,1158,111,95,2,13,135,69,122,1579,71,0,1
2021,Barnet 014D,E01000189,10,0,0,0,0,6,2,2,1584,114,132,3,12,493,130,481,2468,133,0,2
2021,Barnet 014E,E01000190,1,0,0,0,0,0,1,0,1228,116,114,3,4,208,61,204,1734,64,2,1
2021,Barnet 014F,E01000191,2,0,0,0,0,0,2,0,1065,140,81,1,9,203,57,194,1549,58,0,0
2021,Barnet 018A,E01000192,10,0,0,1,1,1,1,6,1212,154,101,2,12,458,57,446,1997,59,0,3
2021,Barnet 018B,E01000193,9,0,0,0,8,0,1,0,1101,125,103,1,9,525,80,516,1946,81,0,2
2021,Barnet 018C,E01000194,4,0,0,0,2,0,2,0,1096,91,80,5,24,551,78,527,1906,83,1,0
2021,Barnet 013A,E01000195,6,0,0,0,1,1,0,4,1138,119,156,1,17,543,49,526,2019,50,0,7
2021,Barnet 028A,E01000196,8,0,0,0,3,1,1,3,1047,87,109,2,34,752,114,718,2124,116,1,4
2021,Barnet 023A,E01000197,22,0,0,3,2,3,7,7,1023,107,105,7,20,474,114,454,1854,121,2,0
2021,Barnet 025A,E01000198,9,0,0,0,0,3,2,4,1399,223,103,1,12,387,69,375,2193,70,1,1
2021,Barnet 025B,E01000199,27,0,0,0,2,5,9,11,981,148,124,1,9,226,71,217,1579,72,1,0
2021,Barnet 028B,E01000200,18,0,0,0,0,3,4,11,1218,131,163,0,14,381,64,367,1978,64,1,2
2021,Barnet 028C,E01000201,6,0,0,1,0,0,0,5,1113,111,36,1,11,243,30,232,1541,31,1,0
2021,Barnet 028D,E01000202,12,0,0,0,3,1,1,7,1043,110,102,1,10,304,97,294,1676,98,0,7
2021,Barnet 028E,E01000203,10,0,0,0,1,1,2,6,1175,64,126,1,10,382,82,372,1842,83,1,1
2021,Barnet 025C,E01000204,6,0,0,0,1,1,3,1,1021,167,102,3,34,325,72,291,1701,75,3,2
2021,Barnet 035A,E01000205,13,1,0,0,1,3,6,2,960,128,81,2,11,219,97,208,1511,99,4,7
2021,Barnet 033B,E01000206,8,0,0,0,0,4,1,3,952,114,53,0,11,302,68,291,1501,68,3,1
2021,Barnet 033C,E01000207,14,0,0,1,0,1,7,5,1004,153,90,3,18,233,67,215,1577,70,6,7
2021,Barnet 033D,E01000208,6,0,0,1,0,1,2,2,985,126,82,2,11,300,121,289,1628,123,2,4
2021,Barnet 035B,E01000209,27,0,0,3,5,4,5,10,860,124,149,4,29,203,101,174,1482,105,3,11
2021,Barnet 033E,E01000210,8,0,0,0,1,2,3,2,973,127,81,1,2,268,86,266,1547,87,0,3
2021,Barnet 035C,E01000211,10,0,0,0,3,2,0,5,1047,107,91,4,23,717,147,694,2128,151,1,4
2021,Barnet 035D,E01000212,7,0,0,0,3,0,1,3,776,87,69,0,8,318,79,310,1342,79,4,2
2021,Barnet 033F,E01000213,9,0,1,0,0,0,5,3,954,99,78,2,12,157,43,145,1351,45,6,3
2021,Barnet 038E,E01000214,20,0,0,3,5,2,4,6,883,101,96,7,15,390,126,375,1628,133,4,1
2021,Barnet 037B,E01000215,3,0,0,0,1,0,1,1,1451,180,108,3,5,338,56,333,2145,59,3,3
2021,Barnet 035E,E01000216,6,0,0,1,1,2,0,2,1182,167,71,0,13,420,128,407,1979,128,0,5
2021,Barnet 035F,E01000217,4,0,0,1,1,0,0,2,1122,223,81,0,8,281,72,273,1785,72,1,1
2021,Barnet 037C,E01000218,6,0,0,0,0,1,4,1,1147,208,98,1,7,329,52,322,1844,53,0,3
2021,Barnet 037D,E01000219,9,0,0,2,5,1,0,1,1436,162,76,1,7,466,42,459,2195,43,1,2
2021,Barnet 037E,E01000220,7,0,0,0,0,0,2,5,1150,217,77,0,2,381,55,379,1888,55,0,1
2021,Barnet 039B,E01000221,3,0,0,0,1,0,0,2,943,46,71,2,8,292,51,284,1411,53,2,1
2021,Barnet 040C,E01000222,2,0,0,0,0,1,0,1,1160,78,122,3,25,583,90,558,2038,93,0,0
2021,Barnet 039C,E01000223,11,0,0,0,6,0,0,5,1156,92,107,5,38,584,71,546,2031,76,4,1
2021,Barnet 040D,E01000224,2,0,0,1,0,0,0,1,943,55,101,2,14,521,65,507,1691,67,0,2
2021,Barnet 037F,E01000225,5,0,0,0,0,3,0,2,1288,235,98,3,12,199,41,187,1869,44,0,0
2021,Barnet 018D,E01000226,4,0,0,0,1,1,1,1,1049,85,116,3,31,418,60,387,1735,63,0,0
2021,Barnet 018E,E01000227,11,0,0,0,3,0,2,6,1219,118,116,0,14,320,83,306,1870,83,1,2
2021,Barnet 007A,E01000228,8,0,0,0,3,1,1,3,967,91,109,2,7,197,55,190,1431,57,0,2
2021,Barnet 013B,E01000229,8,0,0,0,0,1,2,5,1036,122,109,2,9,320,71,311,1671,73,1,2
2021,Barnet 013C,E01000230,7,0,0,0,2,2,2,1,1396,137,123,1,17,219,69,202,1959,70,1,6
2021,Barnet 013D,E01000231,7,0,0,0,1,2,1,3,1168,84,106,2,14,337,82,323,1788,84,2,0
2021,Barnet 013E,E01000232,11,0,0,0,1,1,2,7,1275,138,106,0,19,277,62,258,1871,62,1,1
2021,Barnet 013F,E01000233,6,0,0,1,1,0,1,3,1210,145,124,0,17,349,97,332,1936,97,2,3
2021,Barnet 021D,E01000234,9,0,0,0,0,1,3,5,1146,161,98,7,25,318,40,293,1780,47,0,1
