date,geography,geography code,Length of residence in the UK: 10 years or more,"Length of residence in the UK: 2 years or more, but less than 5 years","Length of residence in the UK: 5 years or more, but less than 10 years",Length of residence in the UK: Born in the UK,Length of residence in the UK: Less than 2 years,Length of residence in the UK: Total: All usual residents
2021,Barnet 012B,E01000277,450,162,137,744,159,1652
2021,Barnet 020B,E01000278,379,100,69,857,72,1477
2021,Barnet 007C,E01000279,236,29,52,1024,24,1365
2021,Barnet 007D,E01000280,319,34,30,935,21,1339
2021,Barnet 008D,E01000281,391,87,151,1114,47,1790
2021,Barnet 008E,E01000282,444,71,90,1134,69,1808
2021,Barnet 012C,E01000283,328,37,29,967,8,1369
2021,Barnet 012D,E01000284,453,111,220,914,108,1806
2021,Barnet 004A,E01000285,393,41,60,984,34,1512
2021,Barnet 007E,E01000286,417,43,75,1165,17,1717
2021,Barnet 004B,E01000287,338,30,79,1158,27,1632
2021,Barnet 004C,E01000288,400,31,54,1033,31,1549
2021,Barnet 004D,E01000289,421,48,54,1036,26,1585
2021,Barnet 007F,E01000290,396,28,25,1157,16,1622
2021,Barnet 004E,E01000291,466,29,54,985,26,1560
2021,Barnet 001E,E01000292,334,49,47,1079,37,1546
2021,Barnet 001F,E01000293,382,43,78,1196,72,1771
2021,Barnet 004F,E01000294,406,41,146,1193,25,1811
2021,Barnet 023B,E01000295,461,121,121,833,79,1615
2021,Barnet 023C,E01000296,530,166,160,840,94,1790
2021,Barnet 027D,E01000297,437,60,123,735,64,1419
2021,Barnet 023D,E01000298,480,151,142,827,112,1712
2021,Barnet 019A,E01000299,669,240,250,894,166,2219
2021,Barnet 019B,E01000300,506,83,73,956,49,1667
2021,Barnet 020C,E01000301,404,86,71,848,86,1495
2021,Barnet 019C,E01000302,510,167,203,836,83,1799
2021,Barnet 020D,E01000303,380,87,91,869,75,1502
2021,Barnet 020E,E01000304,442,91,123,835,66,1557
2021,Barnet 036B,E01000305,558,110,254,607,92,1621
2021,Barnet 036C,E01000306,648,212,320,648,143,1971
2021,Barnet 039D,E01000307,594,97,137,750,72,1650
2021,Barnet 036D,E01000308,623,128,240,1040,79,2110
2021,Barnet 031D,E01000309,582,203,251,857,159,2052
2021,Barnet 034C,E01000310,695,207,244,883,166,2195
2021,Barnet 034D,E01000311,291,83,120,1221,56,1771
2021,Barnet 036E,E01000312,577,118,188,843,41,1767
2021,Barnet 036F,E01000313,630,175,254,718,124,1901
2021,Barnet 032F,E01000314,654,249,237,809,215,2164
2021,Barnet 022F,E01000315,564,58,54,990,36,1702
2021,Barnet 027E,E01000316,706,148,196,1127,110,2287
2021,Barnet 019D,E01000317,446,94,93,888,61,1582
2021,Barnet 019E,E01000318,654,57,79,1077,59,1926
2021,Barnet 027F,E01000319,338,49,54,927,34,1402
2021,Barnet 011D,E01000320,526,93,117,1126,72,1934
2021,Barnet 012E,E01000321,465,150,210,1005,131,1961
2021,Barnet 011E,E01000322,520,123,148,1002,66,1859
2021,Barnet 019F,E01000323,681,259,228,1060,136,2364
2021,Barnet 015F,E01000324,513,55,80,1136,47,1831
2021,Bexley 014A,E01000325,123,6,15,1497,5,1646
2021,Bexley 014B,E01000326,141,19,37,1166,19,1382
2021,Bexley 017A,E01000327,172,28,44,1372,11,1627
2021,Bexley 017B,E01000328,164,14,24,1428,7,1637
2021,Bexley 017C,E01000329,227,46,64,1335,24,1696
2021,Bexley 017D,E01000330,211,35,58,1318,34,1656
2021,Bexley 017E,E01000331,223,23,25,1413,6,1690
2021,Bexley 005A,E01000332,293,23,44,1213,21,1594
2021,Bexley 003A,E01000333,277,48,106,1449,37,1917
2021,Bexley 006A,E01000334,238,23,66,1329,19,1675
2021,Bexley 003B,E01000335,687,133,287,1519,100,2726
2021,Bexley 003C,E01000336,467,83,126,1275,50,2001
2021,Bexley 003D,E01000337,346,54,102,1193,41,1736
2021,Bexley 003E,E01000338,355,77,140,1237,45,1854
2021,Bexley 025A,E01000339,130,10,24,1451,4,1619
2021,Bexley 018A,E01000340,165,22,23,1369,7,1586
2021,Bexley 022A,E01000341,134,6,29,1372,1,1542
2021,Bexley 022B,E01000342,104,15,35,1360,10,1524
2021,Bexley 022C,E01000343,133,12,24,1331,9,1509
2021,Bexley 025B,E01000344,125,7,43,1407,11,1593
2021,Bexley 022D,E01000345,99,3,11,1228,1,1342
2021,Bexley 021A,E01000346,131,4,19,1427,9,1590
2021,Bexley 021B,E01000347,144,13,38,1305,22,1522
2021,Bexley 020A,E01000348,105,7,3,1395,8,1518
2021,Bexley 020B,E01000349,180,3,20,1509,10,1722
2021,Bexley 021C,E01000350,102,13,26,1334,10,1485
2021,Bexley 024A,E01000351,151,8,17,1428,8,1612
2021,Bexley 021D,E01000352,172,24,49,1360,13,1618
2021,Bexley 011A,E01000353,174,9,17,1428,7,1635
2021,Bexley 011B,E01000354,205,17,28,1237,5,1492
2021,Bexley 011C,E01000355,150,8,19,1254,10,1441
2021,Bexley 009A,E01000356,226,22,49,1252,18,1567
2021,Bexley 009B,E01000357,189,8,23,1176,7,1403
2021,Bexley 011D,E01000358,236,21,39,1347,15,1658
2021,Bexley 009C,E01000359,174,20,15,1043,11,1263
2021,Bexley 015A,E01000360,258,66,128,1408,51,1911
2021,Bexley 020C,E01000361,148,21,36,1376,10,1591
2021,Bexley 015B,E01000362,256,20,58,1518,10,1862
2021,Bexley 020D,E01000363,207,21,47,1269,14,1558
2021,Bexley 023A,E01000364,238,32,51,1365,11,1697
2021,Bexley 015C,E01000365,201,36,63,1382,46,1728
2021,Bexley 015D,E01000366,243,45,63,1262,25,1638
2021,Bexley 010A,E01000367,421,36,89,1696,24,2266
2021,Bexley 010B,E01000368,197,26,59,1387,11,1680
2021,Bexley 014C,E01000369,185,32,35,1457,18,1727
2021,Bexley 014D,E01000370,183,17,48,1300,10,1558
2021,Bexley 014E,E01000371,137,18,35,1420,10,1620
2021,Bexley 010C,E01000372,265,25,40,1350,9,1689
2021,Bexley 008A,E01000373,291,28,79,913,15,1326
2021,Bexley 019A,E01000374,248,7,43,1261,19,1578
2021,Bexley 019B,E01000375,331,57,80,1626,34,2128
2021,Bexley 019C,E01000376,205,22,47,1320,21,1615
2021,Bexley 019D,E01000377,140,14,27,1287,8,1476
2021,Bexley 019F,E01000379,198,32,46,1416,22,1714
2021,Bexley 010D,E01000380,163,21,60,1476,16,1736
2021,Bexley 028A,E01000381,122,12,25,1453,5,1617
2021,Bexley 027A,E01000382,158,11,17,1382,5,1573
2021,Bexley 028B,E01000383,151,17,16,1400,9,1593
2021,Bexley 027B,E01000384,173,31,37,1473,5,1719
2021,Bexley 028C,E01000385,258,20,51,1657,20,2006
2021,Bexley 028D,E01000386,236,24,42,1218,18,1538
2021,Bexley 027C,E01000387,164,7,18,1366,1,1556
2021,Bexley 016A,E01000388,252,15,45,1197,7,1516
2021,Bexley 020E,E01000389,233,44,46,1362,16,1701
2021,Bexley 020F,E01000390,157,10,20,1136,9,1332
2021,Bexley 021E,E01000391,224,22,39,1445,17,1747
2021,Bexley 016B,E01000392,370,97,132,1322,37,1958
2021,Bexley 020G,E01000393,287,42,58,1284,25,1696
2021,Bexley 015E,E01000394,194,33,59,1313,29,1628
2021,Bexley 018B,E01000395,225,6,33,1252,13,1529
2021,Bexley 018C,E01000396,176,12,31,1220,13,1452
2021,Bexley 029A,E01000398,242,31,54,1252,14,1593
2021,Bexley 029B,E01000399,250,34,72,1185,30,1571
2021,Bexley 029C,E01000400,268,54,70,1148,32,1572
2021,Bexley 013A,E01000401,310,36,65,1380,25,1816
2021,Bexley 005B,E01000402,243,30,75,1233,27,1608
2021,Bexley 004A,E01000403,502,51,78,1739,34,2404
2021,Bexley 004B,E01000404,573,86,146,1547,71,2423
2021,Bexley 004C,E01000405,286,40,91,1119,40,1576
2021,Bexley 005C,E01000406,443,68,124,1462,47,2144
2021,Bexley 005D,E01000407,343,27,118,1362,20,1870
2021,Bexley 004D,E01000408,440,63,91,1119,61,1774
2021,Bexley 016C,E01000409,227,21,43,1431,20,1742
2021,Bexley 018D,E01000410,233,28,30,1355,12,1658
2021,Bexley 016D,E01000411,183,14,30,1255,13,1495
2021,Bexley 018E,E01000412,240,35,72,1393,25,1765
2021,Bexley 018F,E01000413,145,18,32,1144,6,1345
2021,Bexley 016E,E01000414,382,55,110,1293,54,1894
2021,Bexley 016F,E01000415,248,10,38,1163,6,1465
2021,Bexley 002A,E01000416,489,75,141,888,38,1631
2021,Bexley 006B,E01000417,295,49,81,1285,30,1740
2021,Bexley 002B,E01000418,503,62,136,1192,53,1946
2021,Bexley 006C,E01000419,241,22,39,1178,15,1495
2021,Bexley 006D,E01000420,179,28,27,1272,16,1522
2021,Bexley 009D,E01000421,183,3,27,1307,2,1522
2021,Bexley 002C,E01000422,449,31,60,784,15,1339
2021,Bexley 025C,E01000423,165,2,10,1423,5,1605
2021,Bexley 026A,E01000424,157,17,13,1528,12,1727
2021,Bexley 025D,E01000425,147,2,22,1620,8,1799
2021,Bexley 026B,E01000426,142,20,43,1452,15,1672
2021,Bexley 026C,E01000427,158,25,37,1774,17,2011
2021,Bexley 027D,E01000428,240,55,68,1519,19,1901
2021,Bexley 008B,E01000429,359,65,84,1159,26,1693
2021,Bexley 008C,E01000430,482,53,111,1368,36,2050
2021,Bexley 008D,E01000431,258,28,36,849,30,1201
2021,Bexley 008F,E01000433,349,46,76,1460,26,1957
2021,Bexley 008G,E01000434,234,20,52,1273,14,1593
2021,Bexley 010E,E01000435,251,34,36,1154,16,1491
2021,Bexley 011E,E01000436,171,16,21,1544,6,1758
2021,Bexley 007A,E01000437,132,12,29,1191,9,1373
2021,Bexley 007B,E01000438,227,25,27,1395,14,1688
2021,Bexley 007C,E01000439,194,21,51,1144,14,1424
2021,Bexley 007D,E01000440,181,3,6,1182,12,1384
2021,Bexley 007E,E01000441,231,44,62,1452,13,1802
2021,Bexley 006E,E01000442,193,13,36,1429,8,1679
2021,Bexley 024B,E01000443,105,15,16,1189,5,1330
2021,Bexley 023B,E01000444,144,6,14,1463,14,1641
2021,Bexley 024C,E01000445,156,11,26,1467,6,1666
2021,Bexley 024D,E01000446,104,7,16,1377,3,1507
2021,Bexley 023C,E01000447,161,32,44,1685,35,1957
2021,Bexley 023D,E01000448,104,6,7,1226,4,1347
2021,Bexley 023E,E01000449,128,13,20,1393,8,1562
2021,Bexley 009E,E01000450,242,30,58,1453,17,1800
2021,Bexley 009F,E01000451,262,22,34,1420,12,1750
2021,Bexley 009G,E01000452,214,8,27,1162,9,1420
2021,Bexley 013B,E01000453,203,14,38,1206,18,1479
2021,Bexley 013C,E01000454,276,41,81,1216,17,1631
2021,Bexley 013D,E01000455,313,49,84,1324,22,1792
2021,Bexley 013E,E01000456,203,18,37,1141,25,1424
2021,Bexley 026D,E01000457,195,76,75,1785,43,2174
2021,Bexley 027E,E01000458,136,9,21,1363,14,1543
2021,Bexley 027F,E01000459,195,25,57,1576,18,1871
2021,Bexley 022E,E01000460,114,11,16,1114,6,1261
2021,Bexley 024E,E01000461,177,13,14,1427,7,1638
