lsoa21cd,lsoa21nm,borough_code,borough_name,ward25cd,ward25nm,icb_code,neighbourhood_id,neighbourhood_name,assignment_method,assignment_source_file,definition_group,manual_override,manual_override_detail
E01000030,Barking and Dagenham 001D,E09000002,Barking and Dagenham,E05014058,Chadwell Heath,NEL,nel__barking_and_dagenham_north,Barking and Dagenham North,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000031,Barking and Dagenham 002A,E09000002,Barking and Dagenham,E05014058,Chadwell Heath,NEL,nel__barking_and_dagenham_north,Barking and Dagenham North,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000032,Barking and Dagenham 002B,E09000002,Barking and Dagenham,E05014058,Chadwell Heath,NEL,nel__barking_and_dagenham_north,Barking and Dagenham North,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000033,Barking and Dagenham 006A,E09000002,Barking and Dagenham,E05014059,Eastbrook & Rush Green,NEL,nel__barking_and_dagenham_east,Barking and Dagenham East,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000034,Barking and Dagenham 003A,E09000002,Barking and Dagenham,E05014059,Eastbrook & Rush Green,NEL,nel__barking_and_dagenham_east,Barking and Dagenham East,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000035,Barking and Dagenham 010A,E09000002,Barking and Dagenham,E05014054,Alibon,NEL,nel__barking_and_dagenham_east,Barking and Dagenham East,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000036,Barking and Dagenham 010B,E09000002,Barking and Dagenham,E05014054,Alibon,NEL,nel__barking_and_dagenham_east,Barking and Dagenham East,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000037,Barking and Dagenham 003B,E09000002,Barking and Dagenham,E05014059,Eastbrook & Rush Green,NEL,nel__barking_and_dagenham_east,Barking and Dagenham East,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000038,Barking and Dagenham 003C,E09000002,Barking and Dagenham,E05014059,Eastbrook & Rush Green,NEL,nel__barking_and_dagenham_east,Barking and Dagenham East,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000039,Barking and Dagenham 003D,E09000002,Barking and Dagenham,E05014059,Eastbrook & Rush Green,NEL,nel__barking_and_dagenham_east,Barking and Dagenham East,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000040,Barking and Dagenham 019A,E09000002,Barking and Dagenham,E05014060,Eastbury,NEL,nel__barking_and_dagenham_west,Barking and Dagenham West,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000041,Barking and Dagenham 017A,E09000002,Barking and Dagenham,E05014060,Eastbury,NEL,nel__barking_and_dagenham_west,Barking and Dagenham West,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000042,Barking and Dagenham 017B,E09000002,Barking and Dagenham,E05014060,Eastbury,NEL,nel__barking_and_dagenham_west,Barking and Dagenham West,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000043,Barking and Dagenham 019B,E09000002,Barking and Dagenham,E05014060,Eastbury,NEL,nel__barking_and_dagenham_west,Barking and Dagenham West,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000044,Barking and Dagenham 016D,E09000002,Barking and Dagenham,E05014060,Eastbury,NEL,nel__barking_and_dagenham_west,Barking and Dagenham West,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000045,Barking and Dagenham 017C,E09000002,Barking and Dagenham,E05014060,Eastbury,NEL,nel__barking_and_dagenham_west,Barking and Dagenham West,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000046,Barking and Dagenham 017D,E09000002,Barking and Dagenham,E05014060,Eastbury,NEL,nel__barking_and_dagenham_west,Barking and Dagenham West,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000049,Barking and Dagenham 021C,E09000002,Barking and Dagenham,E05014061,Gascoigne,NEL,nel__barking_and_dagenham_west,Barking and Dagenham West,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000050,Barking and Dagenham 019C,E09000002,Barking and Dagenham,E05014053,Abbey,NEL,nel__barking_and_dagenham_west,Barking and Dagenham West,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000051,Barking and Dagenham 021D,E09000002,Barking and Dagenham,E05014061,Gascoigne,NEL,nel__barking_and_dagenham_west,Barking and Dagenham West,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000052,Barking and Dagenham 019D,E09000002,Barking and Dagenham,E05014061,Gascoigne,NEL,nel__barking_and_dagenham_west,Barking and Dagenham West,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000053,Barking and Dagenham 020A,E09000002,Barking and Dagenham,E05014062,Goresbrook,NEL,nel__barking_and_dagenham_east,Barking and Dagenham East,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000054,Barking and Dagenham 018A,E09000002,Barking and Dagenham,E05014062,Goresbrook,NEL,nel__barking_and_dagenham_east,Barking and Dagenham East,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000055,Barking and Dagenham 018B,E09000002,Barking and Dagenham,E05014060,Eastbury,NEL,nel__barking_and_dagenham_west,Barking and Dagenham West,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000056,Barking and Dagenham 018C,E09000002,Barking and Dagenham,E05014062,Goresbrook,NEL,nel__barking_and_dagenham_east,Barking and Dagenham East,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000057,Barking and Dagenham 012A,E09000002,Barking and Dagenham,E05014060,Eastbury,NEL,nel__barking_and_dagenham_west,Barking and Dagenham West,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000058,Barking and Dagenham 018D,E09000002,Barking and Dagenham,E05014062,Goresbrook,NEL,nel__barking_and_dagenham_east,Barking and Dagenham East,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000059,Barking and Dagenham 013C,E09000002,Barking and Dagenham,E05014062,Goresbrook,NEL,nel__barking_and_dagenham_east,Barking and Dagenham East,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000060,Barking and Dagenham 006B,E09000002,Barking and Dagenham,E05014063,Heath,NEL,nel__barking_and_dagenham_east,Barking and Dagenham East,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000061,Barking and Dagenham 006C,E09000002,Barking and Dagenham,E05014063,Heath,NEL,nel__barking_and_dagenham_east,Barking and Dagenham East,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000062,Barking and Dagenham 006D,E09000002,Barking and Dagenham,E05014063,Heath,NEL,nel__barking_and_dagenham_east,Barking and Dagenham East,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000063,Barking and Dagenham 004A,E09000002,Barking and Dagenham,E05014069,Valence,NEL,nel__barking_and_dagenham_north,Barking and Dagenham North,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000064,Barking and Dagenham 006E,E09000002,Barking and Dagenham,E05014063,Heath,NEL,nel__barking_and_dagenham_east,Barking and Dagenham East,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000065,Barking and Dagenham 007A,E09000002,Barking and Dagenham,E05014067,Parsloes,NEL,nel__barking_and_dagenham_east,Barking and Dagenham East,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000066,Barking and Dagenham 011A,E09000002,Barking and Dagenham,E05014064,Longbridge,NEL,nel__barking_and_dagenham_west,Barking and Dagenham West,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000067,Barking and Dagenham 011B,E09000002,Barking and Dagenham,E05014064,Longbridge,NEL,nel__barking_and_dagenham_west,Barking and Dagenham West,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000068,Barking and Dagenham 016E,E09000002,Barking and Dagenham,E05014064,Longbridge,NEL,nel__barking_and_dagenham_west,Barking and Dagenham West,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000069,Barking and Dagenham 011C,E09000002,Barking and Dagenham,E05014064,Longbridge,NEL,nel__barking_and_dagenham_west,Barking and Dagenham West,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000070,Barking and Dagenham 011D,E09000002,Barking and Dagenham,E05014064,Longbridge,NEL,nel__barking_and_dagenham_west,Barking and Dagenham West,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000071,Barking and Dagenham 011E,E09000002,Barking and Dagenham,E05014064,Longbridge,NEL,nel__barking_and_dagenham_west,Barking and Dagenham West,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000072,Barking and Dagenham 017E,E09000002,Barking and Dagenham,E05014065,Mayesbrook,NEL,nel__barking_and_dagenham_west,Barking and Dagenham West,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000073,Barking and Dagenham 012B,E09000002,Barking and Dagenham,E05014065,Mayesbrook,NEL,nel__barking_and_dagenham_west,Barking and Dagenham West,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000074,Barking and Dagenham 012C,E09000002,Barking and Dagenham,E05014065,Mayesbrook,NEL,nel__barking_and_dagenham_west,Barking and Dagenham West,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000075,Barking and Dagenham 012D,E09000002,Barking and Dagenham,E05014065,Mayesbrook,NEL,nel__barking_and_dagenham_west,Barking and Dagenham West,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000076,Barking and Dagenham 012E,E09000002,Barking and Dagenham,E05014065,Mayesbrook,NEL,nel__barking_and_dagenham_west,Barking and Dagenham West,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000077,Barking and Dagenham 008F,E09000002,Barking and Dagenham,E05014067,Parsloes,NEL,nel__barking_and_dagenham_east,Barking and Dagenham East,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000078,Barking and Dagenham 007B,E09000002,Barking and Dagenham,E05014069,Valence,NEL,nel__barking_and_dagenham_north,Barking and Dagenham North,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000079,Barking and Dagenham 009E,E09000002,Barking and Dagenham,E05014067,Parsloes,NEL,nel__barking_and_dagenham_east,Barking and Dagenham East,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000080,Barking and Dagenham 007C,E09000002,Barking and Dagenham,E05014067,Parsloes,NEL,nel__barking_and_dagenham_east,Barking and Dagenham East,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000081,Barking and Dagenham 007D,E09000002,Barking and Dagenham,E05014067,Parsloes,NEL,nel__barking_and_dagenham_east,Barking and Dagenham East,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000082,Barking and Dagenham 007E,E09000002,Barking and Dagenham,E05014069,Valence,NEL,nel__barking_and_dagenham_north,Barking and Dagenham North,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000083,Barking and Dagenham 007F,E09000002,Barking and Dagenham,E05014069,Valence,NEL,nel__barking_and_dagenham_north,Barking and Dagenham North,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000084,Barking and Dagenham 013D,E09000002,Barking and Dagenham,E05014062,Goresbrook,NEL,nel__barking_and_dagenham_east,Barking and Dagenham East,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000085,Barking and Dagenham 013E,E09000002,Barking and Dagenham,E05014056,Beam,NEL,nel__barking_and_dagenham_south,Barking and Dagenham South,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000086,Barking and Dagenham 013F,E09000002,Barking and Dagenham,E05014062,Goresbrook,NEL,nel__barking_and_dagenham_east,Barking and Dagenham East,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000087,Barking and Dagenham 020B,E09000002,Barking and Dagenham,E05014056,Beam,NEL,nel__barking_and_dagenham_south,Barking and Dagenham South,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000088,Barking and Dagenham 020C,E09000002,Barking and Dagenham,E05014056,Beam,NEL,nel__barking_and_dagenham_south,Barking and Dagenham South,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000089,Barking and Dagenham 020D,E09000002,Barking and Dagenham,E05014056,Beam,NEL,nel__barking_and_dagenham_south,Barking and Dagenham South,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000090,Barking and Dagenham 020E,E09000002,Barking and Dagenham,E05014056,Beam,NEL,nel__barking_and_dagenham_south,Barking and Dagenham South,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000091,Barking and Dagenham 022A,E09000002,Barking and Dagenham,E05014055,Barking Riverside,NEL,nel__barking_and_dagenham_south,Barking and Dagenham South,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000093,Barking and Dagenham 022B,E09000002,Barking and Dagenham,E05014068,Thames View,NEL,nel__barking_and_dagenham_south,Barking and Dagenham South,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000094,Barking and Dagenham 022C,E09000002,Barking and Dagenham,E05014055,Barking Riverside,NEL,nel__barking_and_dagenham_south,Barking and Dagenham South,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000095,Barking and Dagenham 018E,E09000002,Barking and Dagenham,E05014055,Barking Riverside,NEL,nel__barking_and_dagenham_south,Barking and Dagenham South,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000096,Barking and Dagenham 022D,E09000002,Barking and Dagenham,E05014060,Eastbury,NEL,nel__barking_and_dagenham_west,Barking and Dagenham West,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000097,Barking and Dagenham 023C,E09000002,Barking and Dagenham,E05014069,Valence,NEL,nel__barking_and_dagenham_north,Barking and Dagenham North,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000098,Barking and Dagenham 023D,E09000002,Barking and Dagenham,E05014069,Valence,NEL,nel__barking_and_dagenham_north,Barking and Dagenham North,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000099,Barking and Dagenham 023E,E09000002,Barking and Dagenham,E05014071,Whalebone,NEL,nel__barking_and_dagenham_north,Barking and Dagenham North,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000100,Barking and Dagenham 004B,E09000002,Barking and Dagenham,E05014069,Valence,NEL,nel__barking_and_dagenham_north,Barking and Dagenham North,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000101,Barking and Dagenham 004C,E09000002,Barking and Dagenham,E05014069,Valence,NEL,nel__barking_and_dagenham_north,Barking and Dagenham North,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000102,Barking and Dagenham 007G,E09000002,Barking and Dagenham,E05014069,Valence,NEL,nel__barking_and_dagenham_north,Barking and Dagenham North,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000103,Barking and Dagenham 014A,E09000002,Barking and Dagenham,E05014070,Village,NEL,nel__barking_and_dagenham_east,Barking and Dagenham East,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000104,Barking and Dagenham 014B,E09000002,Barking and Dagenham,E05014070,Village,NEL,nel__barking_and_dagenham_east,Barking and Dagenham East,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000105,Barking and Dagenham 014C,E09000002,Barking and Dagenham,E05014070,Village,NEL,nel__barking_and_dagenham_east,Barking and Dagenham East,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000106,Barking and Dagenham 014D,E09000002,Barking and Dagenham,E05014070,Village,NEL,nel__barking_and_dagenham_east,Barking and Dagenham East,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000107,Barking and Dagenham 010C,E09000002,Barking and Dagenham,E05014070,Village,NEL,nel__barking_and_dagenham_east,Barking and Dagenham East,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000108,Barking and Dagenham 010D,E09000002,Barking and Dagenham,E05014070,Village,NEL,nel__barking_and_dagenham_east,Barking and Dagenham East,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000110,Barking and Dagenham 002C,E09000002,Barking and Dagenham,E05014058,Chadwell Heath,NEL,nel__barking_and_dagenham_north,Barking and Dagenham North,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000111,Barking and Dagenham 002D,E09000002,Barking and Dagenham,E05014071,Whalebone,NEL,nel__barking_and_dagenham_north,Barking and Dagenham North,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000112,Barking and Dagenham 002E,E09000002,Barking and Dagenham,E05014071,Whalebone,NEL,nel__barking_and_dagenham_north,Barking and Dagenham North,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000113,Barking and Dagenham 002F,E09000002,Barking and Dagenham,E05014071,Whalebone,NEL,nel__barking_and_dagenham_north,Barking and Dagenham North,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000114,Barking and Dagenham 004E,E09000002,Barking and Dagenham,E05014071,Whalebone,NEL,nel__barking_and_dagenham_north,Barking and Dagenham North,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000115,Barnet 009A,E09000003,Barnet,E05013629,Brunswick Park,NCL,ncl__east_barnet,East Barnet,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000116,Barnet 009B,E09000003,Barnet,E05013629,Brunswick Park,NCL,ncl__east_barnet,East Barnet,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000117,Barnet 010A,E09000003,Barnet,E05013629,Brunswick Park,NCL,ncl__east_barnet,East Barnet,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000118,Barnet 010B,E09000003,Barnet,E05013629,Brunswick Park,NCL,ncl__east_barnet,East Barnet,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000119,Barnet 009C,E09000003,Barnet,E05013629,Brunswick Park,NCL,ncl__east_barnet,East Barnet,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000120,Barnet 009D,E09000003,Barnet,E05013629,Brunswick Park,NCL,ncl__east_barnet,East Barnet,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000121,Barnet 010C,E09000003,Barnet,E05013629,Brunswick Park,NCL,ncl__east_barnet,East Barnet,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000122,Barnet 009E,E09000003,Barnet,E05013629,Brunswick Park,NCL,ncl__east_barnet,East Barnet,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000123,Barnet 010D,E09000003,Barnet,E05013629,Brunswick Park,NCL,ncl__east_barnet,East Barnet,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000124,Barnet 010E,E09000003,Barnet,E05013629,Brunswick Park,NCL,ncl__east_barnet,East Barnet,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000126,Barnet 026A,E09000003,Barnet,E05013632,Colindale North,NCL,ncl__west_barnet,West Barnet,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000127,Barnet 024B,E09000003,Barnet,E05013630,Burnt Oak,NCL,ncl__west_barnet,West Barnet,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000128,Barnet 024C,E09000003,Barnet,E05013630,Burnt Oak,NCL,ncl__west_barnet,West Barnet,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000129,Barnet 024D,E09000003,Barnet,E05013630,Burnt Oak,NCL,ncl__west_barnet,West Barnet,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000130,Barnet 021A,E09000003,Barnet,E05013630,Burnt Oak,NCL,ncl__west_barnet,West Barnet,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000131,Barnet 024E,E09000003,Barnet,E05013630,Burnt Oak,NCL,ncl__west_barnet,West Barnet,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000132,Barnet 021B,E09000003,Barnet,E05013630,Burnt Oak,NCL,ncl__west_barnet,West Barnet,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000133,Barnet 021C,E09000003,Barnet,E05013630,Burnt Oak,NCL,ncl__west_barnet,West Barnet,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
E01000134,Barnet 024F,E09000003,Barnet,E05013630,Burnt Oak,NCL,ncl__west_barnet,West Barnet,direct_lsoa21,NEL & NCL LSOA codes.xlsx,NCL_NEL,False,
