indicator_id,metric_title,public_explorer_visible,currently_in_app,theme,subtheme,ui_tier,source_key,source_name,source_file_or_api,source_geography,geography_version,source_period,unit,aggregation_method,benchmark_method,last_refresh_date,default_view,primary_visualisation,secondary_visualisation,compact_view_options,full_view_options,module_bundle_view,comparison_view,trend_view,map_view,source_url,docs_url,caveats
qof_achievement_ast006,Asthma (AST006),True,True,Health & Wellbeing,Asthma,advanced,qof_lsoa_2425,NHS England Quality and Outcomes Framework,london_maps/data_for_app/QOF/qof_lsoa_long.csv,LSOA,2021,2022/23,share,recompute_rate_from_numerator_denominator,direct_aggregate,2026-03-23,benchmark_lollipop,benchmark_lollipop,trend_line,benchmark_lollipop|trend_line,ranked_distribution|choropleth_map|table_support_only,domain_tile_matrix,benchmark_lollipop,trend_line,choropleth_map,https://digital.nhs.uk/data-and-information/publications/statistical/quality-and-outcomes-framework-achievement-prevalence-and-exceptions-data,https://github.com/houseofcommonslibrary/local-health-data-from-QOF,Neighbourhood estimate allocated from GP-practice QOF achievement data using practice-to-LSOA GP registrations and Census 2021 age structure.
qof_pcas_ast006,Asthma (AST006) PCAS share,False,True,Health & Wellbeing,Asthma,hidden,qof_lsoa_2425,NHS England Quality and Outcomes Framework,london_maps/data_for_app/QOF/qof_lsoa_long.csv,LSOA,2021,2022/23,share,recompute_rate_from_numerator_denominator,direct_aggregate,2026-03-23,benchmark_lollipop,benchmark_lollipop,trend_line,benchmark_lollipop|trend_line,ranked_distribution|choropleth_map|table_support_only,domain_tile_matrix,benchmark_lollipop,trend_line,choropleth_map,https://digital.nhs.uk/data-and-information/publications/statistical/quality-and-outcomes-framework-achievement-prevalence-and-exceptions-data,https://github.com/houseofcommonslibrary/local-health-data-from-QOF,Indicative neighbourhood estimate of personalised care adjustment activity derived from GP-practice data rather than a directly observed resident measure.
qof_points_ast006,Asthma (AST006) points share,False,True,Health & Wellbeing,Asthma,hidden,qof_lsoa_2425,NHS England Quality and Outcomes Framework,london_maps/data_for_app/QOF/qof_lsoa_long.csv,LSOA,2021,2022/23,share,recompute_rate_from_numerator_denominator,direct_aggregate,2026-03-23,benchmark_lollipop,benchmark_lollipop,trend_line,benchmark_lollipop|trend_line,ranked_distribution|choropleth_map|table_support_only,domain_tile_matrix,benchmark_lollipop,trend_line,choropleth_map,https://digital.nhs.uk/data-and-information/publications/statistical/quality-and-outcomes-framework-achievement-prevalence-and-exceptions-data,https://github.com/houseofcommonslibrary/local-health-data-from-QOF,"Indicative neighbourhood estimate of the share of maximum QOF points achieved, derived from GP-practice data rather than directly observed resident performance."
qof_prevalence_ast,Asthma prevalence (QOF),True,True,Health & Wellbeing,Asthma,standard,qof_lsoa_2425,NHS England Quality and Outcomes Framework,london_maps/data_for_app/QOF/qof_lsoa_long.csv,LSOA,2021,2024/25,share,recompute_rate_from_numerator_denominator,direct_aggregate,2026-03-23,benchmark_lollipop,benchmark_lollipop,trend_line,benchmark_lollipop|trend_line,ranked_distribution|choropleth_map|table_support_only,domain_tile_matrix,benchmark_lollipop,trend_line,choropleth_map,https://digital.nhs.uk/data-and-information/publications/statistical/quality-and-outcomes-framework-achievement-prevalence-and-exceptions-data,https://github.com/houseofcommonslibrary/local-health-data-from-QOF,Neighbourhood estimate allocated from GP-practice QOF prevalence using practice-to-LSOA GP registrations and Census 2021 age structure.
qof_register_ast005,Asthma registered share (QOF),False,True,Health & Wellbeing,Asthma,hidden,qof_lsoa_2425,NHS England Quality and Outcomes Framework,london_maps/data_for_app/QOF/qof_lsoa_long.csv,LSOA,2021,2024/25,share,recompute_rate_from_numerator_denominator,direct_aggregate,2026-03-23,benchmark_lollipop,benchmark_lollipop,trend_line,benchmark_lollipop|trend_line,ranked_distribution|choropleth_map|table_support_only,domain_tile_matrix,benchmark_lollipop,trend_line,choropleth_map,https://digital.nhs.uk/data-and-information/publications/statistical/quality-and-outcomes-framework-achievement-prevalence-and-exceptions-data,https://github.com/houseofcommonslibrary/local-health-data-from-QOF,Indicative neighbourhood estimate of QOF register coverage derived from GP-practice data rather than a directly observed resident register.
qof_achievement_ast011,Asthma: a diagnosis of asthma on or after 1 April 2023 with either: 1. A record... (AST011),True,True,Health & Wellbeing,Asthma,advanced,qof_lsoa_2425,NHS England Quality and Outcomes Framework,london_maps/data_for_app/QOF/qof_lsoa_long.csv,LSOA,2021,2024/25,share,recompute_rate_from_numerator_denominator,direct_aggregate,2026-03-23,benchmark_lollipop,benchmark_lollipop,trend_line,benchmark_lollipop|trend_line,ranked_distribution|choropleth_map|table_support_only,domain_tile_matrix,benchmark_lollipop,trend_line,choropleth_map,https://digital.nhs.uk/data-and-information/publications/statistical/quality-and-outcomes-framework-achievement-prevalence-and-exceptions-data,https://github.com/houseofcommonslibrary/local-health-data-from-QOF,Neighbourhood estimate allocated from GP-practice QOF achievement data using practice-to-LSOA GP registrations and Census 2021 age structure.
qof_pcas_ast011,Asthma: a diagnosis of asthma on or after 1 April 2023 with either: 1. A record... (AST011) PCAS share,False,True,Health & Wellbeing,Asthma,hidden,qof_lsoa_2425,NHS England Quality and Outcomes Framework,london_maps/data_for_app/QOF/qof_lsoa_long.csv,LSOA,2021,2024/25,share,recompute_rate_from_numerator_denominator,direct_aggregate,2026-03-23,benchmark_lollipop,benchmark_lollipop,trend_line,benchmark_lollipop|trend_line,ranked_distribution|choropleth_map|table_support_only,domain_tile_matrix,benchmark_lollipop,trend_line,choropleth_map,https://digital.nhs.uk/data-and-information/publications/statistical/quality-and-outcomes-framework-achievement-prevalence-and-exceptions-data,https://github.com/houseofcommonslibrary/local-health-data-from-QOF,Indicative neighbourhood estimate of personalised care adjustment activity derived from GP-practice data rather than a directly observed resident measure.
qof_points_ast011,Asthma: a diagnosis of asthma on or after 1 April 2023 with either: 1. A record... (AST011) points share,False,True,Health & Wellbeing,Asthma,hidden,qof_lsoa_2425,NHS England Quality and Outcomes Framework,london_maps/data_for_app/QOF/qof_lsoa_long.csv,LSOA,2021,2024/25,share,recompute_rate_from_numerator_denominator,direct_aggregate,2026-03-23,benchmark_lollipop,benchmark_lollipop,trend_line,benchmark_lollipop|trend_line,ranked_distribution|choropleth_map|table_support_only,domain_tile_matrix,benchmark_lollipop,trend_line,choropleth_map,https://digital.nhs.uk/data-and-information/publications/statistical/quality-and-outcomes-framework-achievement-prevalence-and-exceptions-data,https://github.com/houseofcommonslibrary/local-health-data-from-QOF,"Indicative neighbourhood estimate of the share of maximum QOF points achieved, derived from GP-practice data rather than directly observed resident performance."
qof_achievement_ast008,"Asthma: asthma on the register aged 19 and under, with a record of personal... (AST008)",True,True,Health & Wellbeing,Asthma,advanced,qof_lsoa_2425,NHS England Quality and Outcomes Framework,london_maps/data_for_app/QOF/qof_lsoa_long.csv,LSOA,2021,2024/25,share,recompute_rate_from_numerator_denominator,direct_aggregate,2026-03-23,benchmark_lollipop,benchmark_lollipop,trend_line,benchmark_lollipop|trend_line,ranked_distribution|choropleth_map|table_support_only,domain_tile_matrix,benchmark_lollipop,trend_line,choropleth_map,https://digital.nhs.uk/data-and-information/publications/statistical/quality-and-outcomes-framework-achievement-prevalence-and-exceptions-data,https://github.com/houseofcommonslibrary/local-health-data-from-QOF,Neighbourhood estimate allocated from GP-practice QOF achievement data using practice-to-LSOA GP registrations and Census 2021 age structure.
qof_pcas_ast008,"Asthma: asthma on the register aged 19 and under, with a record of personal... (AST008) PCAS share",False,True,Health & Wellbeing,Asthma,hidden,qof_lsoa_2425,NHS England Quality and Outcomes Framework,london_maps/data_for_app/QOF/qof_lsoa_long.csv,LSOA,2021,2024/25,share,recompute_rate_from_numerator_denominator,direct_aggregate,2026-03-23,benchmark_lollipop,benchmark_lollipop,trend_line,benchmark_lollipop|trend_line,ranked_distribution|choropleth_map|table_support_only,domain_tile_matrix,benchmark_lollipop,trend_line,choropleth_map,https://digital.nhs.uk/data-and-information/publications/statistical/quality-and-outcomes-framework-achievement-prevalence-and-exceptions-data,https://github.com/houseofcommonslibrary/local-health-data-from-QOF,Indicative neighbourhood estimate of personalised care adjustment activity derived from GP-practice data rather than a directly observed resident measure.
qof_points_ast008,"Asthma: asthma on the register aged 19 and under, with a record of personal... (AST008) points share",False,True,Health & Wellbeing,Asthma,hidden,qof_lsoa_2425,NHS England Quality and Outcomes Framework,london_maps/data_for_app/QOF/qof_lsoa_long.csv,LSOA,2021,2024/25,share,recompute_rate_from_numerator_denominator,direct_aggregate,2026-03-23,benchmark_lollipop,benchmark_lollipop,trend_line,benchmark_lollipop|trend_line,ranked_distribution|choropleth_map|table_support_only,domain_tile_matrix,benchmark_lollipop,trend_line,choropleth_map,https://digital.nhs.uk/data-and-information/publications/statistical/quality-and-outcomes-framework-achievement-prevalence-and-exceptions-data,https://github.com/houseofcommonslibrary/local-health-data-from-QOF,"Indicative neighbourhood estimate of the share of maximum QOF points achieved, derived from GP-practice data rather than directly observed resident performance."
qof_achievement_ast007,"Asthma: asthma, on the register, with an asthma review in the last 12 months... (AST007)",True,True,Health & Wellbeing,Asthma,advanced,qof_lsoa_2425,NHS England Quality and Outcomes Framework,london_maps/data_for_app/QOF/qof_lsoa_long.csv,LSOA,2021,2024/25,share,recompute_rate_from_numerator_denominator,direct_aggregate,2026-03-23,benchmark_lollipop,benchmark_lollipop,trend_line,benchmark_lollipop|trend_line,ranked_distribution|choropleth_map|table_support_only,domain_tile_matrix,benchmark_lollipop,trend_line,choropleth_map,https://digital.nhs.uk/data-and-information/publications/statistical/quality-and-outcomes-framework-achievement-prevalence-and-exceptions-data,https://github.com/houseofcommonslibrary/local-health-data-from-QOF,Neighbourhood estimate allocated from GP-practice QOF achievement data using practice-to-LSOA GP registrations and Census 2021 age structure.
qof_pcas_ast007,"Asthma: asthma, on the register, with an asthma review in the last 12 months... (AST007) PCAS share",False,True,Health & Wellbeing,Asthma,hidden,qof_lsoa_2425,NHS England Quality and Outcomes Framework,london_maps/data_for_app/QOF/qof_lsoa_long.csv,LSOA,2021,2024/25,share,recompute_rate_from_numerator_denominator,direct_aggregate,2026-03-23,benchmark_lollipop,benchmark_lollipop,trend_line,benchmark_lollipop|trend_line,ranked_distribution|choropleth_map|table_support_only,domain_tile_matrix,benchmark_lollipop,trend_line,choropleth_map,https://digital.nhs.uk/data-and-information/publications/statistical/quality-and-outcomes-framework-achievement-prevalence-and-exceptions-data,https://github.com/houseofcommonslibrary/local-health-data-from-QOF,Indicative neighbourhood estimate of personalised care adjustment activity derived from GP-practice data rather than a directly observed resident measure.
qof_points_ast007,"Asthma: asthma, on the register, with an asthma review in the last 12 months... (AST007) points share",False,True,Health & Wellbeing,Asthma,hidden,qof_lsoa_2425,NHS England Quality and Outcomes Framework,london_maps/data_for_app/QOF/qof_lsoa_long.csv,LSOA,2021,2024/25,share,recompute_rate_from_numerator_denominator,direct_aggregate,2026-03-23,benchmark_lollipop,benchmark_lollipop,trend_line,benchmark_lollipop|trend_line,ranked_distribution|choropleth_map|table_support_only,domain_tile_matrix,benchmark_lollipop,trend_line,choropleth_map,https://digital.nhs.uk/data-and-information/publications/statistical/quality-and-outcomes-framework-achievement-prevalence-and-exceptions-data,https://github.com/houseofcommonslibrary/local-health-data-from-QOF,"Indicative neighbourhood estimate of the share of maximum QOF points achieved, derived from GP-practice data rather than directly observed resident performance."
qof_points_ast005,"Asthma: patients with asthma, aged 6+, excluding patients with asthma who have... (AST005) points share",False,True,Health & Wellbeing,Asthma,hidden,qof_lsoa_2425,NHS England Quality and Outcomes Framework,london_maps/data_for_app/QOF/qof_lsoa_long.csv,LSOA,2021,2024/25,share,recompute_rate_from_numerator_denominator,direct_aggregate,2026-03-23,benchmark_lollipop,benchmark_lollipop,trend_line,benchmark_lollipop|trend_line,ranked_distribution|choropleth_map|table_support_only,domain_tile_matrix,benchmark_lollipop,trend_line,choropleth_map,https://digital.nhs.uk/data-and-information/publications/statistical/quality-and-outcomes-framework-achievement-prevalence-and-exceptions-data,https://github.com/houseofcommonslibrary/local-health-data-from-QOF,"Indicative neighbourhood estimate of the share of maximum QOF points achieved, derived from GP-practice data rather than directly observed resident performance."
qof_achievement_af007,Atrial fibrillation (AF007),True,True,Health & Wellbeing,Atrial fibrillation,advanced,qof_lsoa_2425,NHS England Quality and Outcomes Framework,london_maps/data_for_app/QOF/qof_lsoa_long.csv,LSOA,2021,2022/23,share,recompute_rate_from_numerator_denominator,direct_aggregate,2026-03-23,benchmark_lollipop,benchmark_lollipop,trend_line,benchmark_lollipop|trend_line,ranked_distribution|choropleth_map|table_support_only,domain_tile_matrix,benchmark_lollipop,trend_line,choropleth_map,https://digital.nhs.uk/data-and-information/publications/statistical/quality-and-outcomes-framework-achievement-prevalence-and-exceptions-data,https://github.com/houseofcommonslibrary/local-health-data-from-QOF,Neighbourhood estimate allocated from GP-practice QOF achievement data using practice-to-LSOA GP registrations and Census 2021 age structure.
qof_pcas_af007,Atrial fibrillation (AF007) PCAS share,False,True,Health & Wellbeing,Atrial fibrillation,hidden,qof_lsoa_2425,NHS England Quality and Outcomes Framework,london_maps/data_for_app/QOF/qof_lsoa_long.csv,LSOA,2021,2022/23,share,recompute_rate_from_numerator_denominator,direct_aggregate,2026-03-23,benchmark_lollipop,benchmark_lollipop,trend_line,benchmark_lollipop|trend_line,ranked_distribution|choropleth_map|table_support_only,domain_tile_matrix,benchmark_lollipop,trend_line,choropleth_map,https://digital.nhs.uk/data-and-information/publications/statistical/quality-and-outcomes-framework-achievement-prevalence-and-exceptions-data,https://github.com/houseofcommonslibrary/local-health-data-from-QOF,Indicative neighbourhood estimate of personalised care adjustment activity derived from GP-practice data rather than a directly observed resident measure.
qof_points_af007,Atrial fibrillation (AF007) points share,False,True,Health & Wellbeing,Atrial fibrillation,hidden,qof_lsoa_2425,NHS England Quality and Outcomes Framework,london_maps/data_for_app/QOF/qof_lsoa_long.csv,LSOA,2021,2022/23,share,recompute_rate_from_numerator_denominator,direct_aggregate,2026-03-23,benchmark_lollipop,benchmark_lollipop,trend_line,benchmark_lollipop|trend_line,ranked_distribution|choropleth_map|table_support_only,domain_tile_matrix,benchmark_lollipop,trend_line,choropleth_map,https://digital.nhs.uk/data-and-information/publications/statistical/quality-and-outcomes-framework-achievement-prevalence-and-exceptions-data,https://github.com/houseofcommonslibrary/local-health-data-from-QOF,"Indicative neighbourhood estimate of the share of maximum QOF points achieved, derived from GP-practice data rather than directly observed resident performance."
qof_prevalence_af,Atrial fibrillation prevalence (QOF),True,True,Health & Wellbeing,Atrial fibrillation,standard,qof_lsoa_2425,NHS England Quality and Outcomes Framework,london_maps/data_for_app/QOF/qof_lsoa_long.csv,LSOA,2021,2024/25,share,recompute_rate_from_numerator_denominator,direct_aggregate,2026-03-23,benchmark_lollipop,benchmark_lollipop,trend_line,benchmark_lollipop|trend_line,ranked_distribution|choropleth_map|table_support_only,domain_tile_matrix,benchmark_lollipop,trend_line,choropleth_map,https://digital.nhs.uk/data-and-information/publications/statistical/quality-and-outcomes-framework-achievement-prevalence-and-exceptions-data,https://github.com/houseofcommonslibrary/local-health-data-from-QOF,Neighbourhood estimate allocated from GP-practice QOF prevalence using practice-to-LSOA GP registrations and Census 2021 age structure.
qof_register_af001,Atrial fibrillation registered share (QOF),False,True,Health & Wellbeing,Atrial fibrillation,hidden,qof_lsoa_2425,NHS England Quality and Outcomes Framework,london_maps/data_for_app/QOF/qof_lsoa_long.csv,LSOA,2021,2024/25,share,recompute_rate_from_numerator_denominator,direct_aggregate,2026-03-23,benchmark_lollipop,benchmark_lollipop,trend_line,benchmark_lollipop|trend_line,ranked_distribution|choropleth_map|table_support_only,domain_tile_matrix,benchmark_lollipop,trend_line,choropleth_map,https://digital.nhs.uk/data-and-information/publications/statistical/quality-and-outcomes-framework-achievement-prevalence-and-exceptions-data,https://github.com/houseofcommonslibrary/local-health-data-from-QOF,Indicative neighbourhood estimate of QOF register coverage derived from GP-practice data rather than a directly observed resident register.
qof_achievement_af006,Atrial fibrillation: atrial fibrillation stroke risk assessed using the CHA2DS2-VASc score... (AF006),True,True,Health & Wellbeing,Atrial fibrillation,advanced,qof_lsoa_2425,NHS England Quality and Outcomes Framework,london_maps/data_for_app/QOF/qof_lsoa_long.csv,LSOA,2021,2024/25,share,recompute_rate_from_numerator_denominator,direct_aggregate,2026-03-23,benchmark_lollipop,benchmark_lollipop,trend_line,benchmark_lollipop|trend_line,ranked_distribution|choropleth_map|table_support_only,domain_tile_matrix,benchmark_lollipop,trend_line,choropleth_map,https://digital.nhs.uk/data-and-information/publications/statistical/quality-and-outcomes-framework-achievement-prevalence-and-exceptions-data,https://github.com/houseofcommonslibrary/local-health-data-from-QOF,Neighbourhood estimate allocated from GP-practice QOF achievement data using practice-to-LSOA GP registrations and Census 2021 age structure.
qof_pcas_af006,Atrial fibrillation: atrial fibrillation stroke risk assessed using the CHA2DS2-VASc score... (AF006) PCAS share,False,True,Health & Wellbeing,Atrial fibrillation,hidden,qof_lsoa_2425,NHS England Quality and Outcomes Framework,london_maps/data_for_app/QOF/qof_lsoa_long.csv,LSOA,2021,2024/25,share,recompute_rate_from_numerator_denominator,direct_aggregate,2026-03-23,benchmark_lollipop,benchmark_lollipop,trend_line,benchmark_lollipop|trend_line,ranked_distribution|choropleth_map|table_support_only,domain_tile_matrix,benchmark_lollipop,trend_line,choropleth_map,https://digital.nhs.uk/data-and-information/publications/statistical/quality-and-outcomes-framework-achievement-prevalence-and-exceptions-data,https://github.com/houseofcommonslibrary/local-health-data-from-QOF,Indicative neighbourhood estimate of personalised care adjustment activity derived from GP-practice data rather than a directly observed resident measure.
qof_points_af006,Atrial fibrillation: atrial fibrillation stroke risk assessed using the CHA2DS2-VASc score... (AF006) points share,False,True,Health & Wellbeing,Atrial fibrillation,hidden,qof_lsoa_2425,NHS England Quality and Outcomes Framework,london_maps/data_for_app/QOF/qof_lsoa_long.csv,LSOA,2021,2024/25,share,recompute_rate_from_numerator_denominator,direct_aggregate,2026-03-23,benchmark_lollipop,benchmark_lollipop,trend_line,benchmark_lollipop|trend_line,ranked_distribution|choropleth_map|table_support_only,domain_tile_matrix,benchmark_lollipop,trend_line,choropleth_map,https://digital.nhs.uk/data-and-information/publications/statistical/quality-and-outcomes-framework-achievement-prevalence-and-exceptions-data,https://github.com/houseofcommonslibrary/local-health-data-from-QOF,"Indicative neighbourhood estimate of the share of maximum QOF points achieved, derived from GP-practice data rather than directly observed resident performance."
qof_achievement_af008,Atrial fibrillation: on the QOF Atrial Fibrillation register and with a CHA2DS2-VASc score 2... (AF008),True,True,Health & Wellbeing,Atrial fibrillation,advanced,qof_lsoa_2425,NHS England Quality and Outcomes Framework,london_maps/data_for_app/QOF/qof_lsoa_long.csv,LSOA,2021,2024/25,share,recompute_rate_from_numerator_denominator,direct_aggregate,2026-03-23,benchmark_lollipop,benchmark_lollipop,trend_line,benchmark_lollipop|trend_line,ranked_distribution|choropleth_map|table_support_only,domain_tile_matrix,benchmark_lollipop,trend_line,choropleth_map,https://digital.nhs.uk/data-and-information/publications/statistical/quality-and-outcomes-framework-achievement-prevalence-and-exceptions-data,https://github.com/houseofcommonslibrary/local-health-data-from-QOF,Neighbourhood estimate allocated from GP-practice QOF achievement data using practice-to-LSOA GP registrations and Census 2021 age structure.
qof_pcas_af008,Atrial fibrillation: on the QOF Atrial Fibrillation register and with a CHA2DS2-VASc score 2... (AF008) PCAS share,False,True,Health & Wellbeing,Atrial fibrillation,hidden,qof_lsoa_2425,NHS England Quality and Outcomes Framework,london_maps/data_for_app/QOF/qof_lsoa_long.csv,LSOA,2021,2024/25,share,recompute_rate_from_numerator_denominator,direct_aggregate,2026-03-23,benchmark_lollipop,benchmark_lollipop,trend_line,benchmark_lollipop|trend_line,ranked_distribution|choropleth_map|table_support_only,domain_tile_matrix,benchmark_lollipop,trend_line,choropleth_map,https://digital.nhs.uk/data-and-information/publications/statistical/quality-and-outcomes-framework-achievement-prevalence-and-exceptions-data,https://github.com/houseofcommonslibrary/local-health-data-from-QOF,Indicative neighbourhood estimate of personalised care adjustment activity derived from GP-practice data rather than a directly observed resident measure.
